Position, RaceName,Date,Time,Winner
55,Tinto Hill Race,09/11/2013,0:41:53,131.0%
19,Caerketton Downhill,11/09/2013,0:06:08,120.3%
17,Nebit Downfall,04/09/2013,0:05:57,124.8%
16,Bishop Downhill,28/08/2013,0:05:30,119.6%
56,Caerketton Hill Race,14/08/2013,0:24:48,130.4%
9,Killin Highland Games Race,07/08/2013,0:27:20,121.7%
41,Cairn Table Hill Race,24/07/2013,0:42:12,134.5%
31,The Law Breaker,26/06/2013,0:49:01,127.5%
29,Falkland Hill Race,23/06/2013,0:27:02,126.3%
27,Ben Sheann Hill Race,12/06/2013,0:35:19,132.7%
34,Cort-ma Law Hill Race,05/06/2013,1:03:32,125.2%
4,Saugh Hill Race,02/06/2013,0:26:38,113.6%
39,Kilpatricks Hill Race,29/05/2013,0:57:23,123.0%
69,Dumyat Hill Race,08/05/2013,0:44:46,126.4%
37,Beinn Dubh  Luss,24/04/2013,0:46:44,124.2%
41,Kaim Hill Race,17/04/2013,0:42:01,137.3%
22,Birnam Hill Race,30/03/2013,0:39:54,132.4%
263,Carnethy 5 Hill Race,16/02/2013,1:14:14,149.2%
30,Greenmantle Dash,02/01/2013,0:21:08,134.0%
68,Tinto Hill Race,10/11/2012,0:42:11,131.5%
39,Dumyat Dash,03/11/2012,1:05:12,132.4%
26,Cairn Table Hill Race,22/08/2012,0:43:39,127.2%
29,Largo Law Hill Race,04/08/2012,1:02:59,124.6%
14,Ben Sheann Hill Race,13/06/2012,0:34:47,129.9%
21,Cort-ma Law Hill Race,06/06/2012,1:01:20,128.8%
41,Kilpatricks Hill Race,30/05/2012,0:57:57,129.7%
76,Ben Lomond Hill Race,12/05/2012,1:36:26,136.5%
31,Kaim Hill Race,18/04/2012,0:38:52,125.2%
7,Easter Eigg Race 2 - Singing Sands,08/04/2012,0:37:01,114.4%
6,Easter Eigg Race 1 - An Sgurr,07/04/2012,0:48:21,115.7%
9,Chapelgill Hill Race,17/03/2012,0:25:19,119.4%
48,Criffel Hill Race,11/03/2012,1:21:01,138.6%
39,Conic Hill Race,25/02/2012,0:32:07,129.4%
111,Tinto Hill Race,12/11/2011,0:44:10,143.2%
57,Run of the Mill,23/10/2011,1:35:18,136.7%
30,Largo Law Hill Race,06/08/2011,0:58:06,125.8%
37,The Law Breaker,29/06/2011,0:52:55,143.4%
112,Eildons Hill Race,25/06/2011,0:40:03,145.5%
12,Glen Rosa Horseshoe,18/06/2011,3:09:04,123.4%
14,Ben Sheann Hill Race,15/06/2011,0:33:00,121.0%
25,Cort-ma Law Hill Race,08/06/2011,1:03:58,128.2%
35,Kilpatricks Hill Race,01/06/2011,0:57:10,124.4%
74,Slioch Horseshoe,21/05/2011,2:57:46,141.3%
108,Dumyat Hill Race,04/05/2011,0:46:04,139.2%
60,Normans Law,23/04/2011,0:39:27,127.9%
