Position, RaceName,Date,Time,Winner
16,Kaim Hill Race,20/04/2011,0:36:24,113.7%
102,Birnam Hill Race,26/03/2011,0:39:46,138.5%
6,Chapelgill Hill Race,19/03/2011,0:25:04,109.3%
31,Bishop Hill Race,06/03/2011,0:23:26,134.9%
5,Craigengower Hill Race,21/08/2010,0:20:07,122.2%
103,Dollar Hill Race,31/07/2010,1:35:00,130.5%
27,Turnhouse Hill Race,28/07/2010,0:31:21,125.6%
44,Red Moss Revolution,23/06/2010,0:43:52,123.5%
33,Glen Rosa Horseshoe,19/06/2010,3:07:07,127.8%
11,Ben Sheann Hill Race,16/06/2010,0:31:28,113.2%
5,Cairn Table Hill Race,12/06/2010,0:36:31,111.8%
30,Cort-ma Law Hill Race,09/06/2010,0:59:54,121.8%
6,Saugh Hill Race,06/06/2010,0:26:50,113.0%
20,Gargunnock Hill Race,05/06/2010,0:37:34,119.4%
41,Kilpatricks Hill Race,02/06/2010,0:55:24,128.9%
45,Dumyat Hill Race,05/05/2010,0:42:55,127.0%
71,Stuc a`Chroin Hill Race,01/05/2010,3:12:25,141.8%
15,Kaim Hill Race,21/04/2010,0:36:04,122.3%
38,Chapelgill Hill Race,20/03/2010,0:24:34,127.7%
194,Tinto Hill Race,07/11/2009,0:48:32,154.2%
19,Ben Sheann Hill Race,17/06/2009,0:32:06,133.7%
33,Loch Lochy Munros,13/06/2009,2:55:40,138.8%
40,Cort-ma Law Hill Race,10/06/2009,0:59:47,123.1%
20,Kilpatricks Hill Race,03/06/2009,0:52:24,121.5%
81,Isle of Jura Fell Race,23/05/2009,5:23:58,141.0%
18,Ben Lomond Hill Race,09/05/2009,1:26:04,118.5%
119,Stuc a`Chroin Hill Race,02/05/2009,2:54:56,139.6%
38,Screel Hill Race,18/04/2009,0:37:09,130.3%
43,Clachnaben Hill Race,11/04/2009,1:43:12,127.4%
11,Chapelgill Hill Race,21/03/2009,0:24:07,123.3%
20,Bishop Hill Race,01/03/2009,0:22:15,125.4%
43,Tinto Hill Race,08/11/2008,0:39:47,123.2%
49,Two Breweries Hill Race,27/09/2008,3:35:06,128.1%
101,Ben Nevis Race,06/09/2008,2:00:47,135.4%
64,Ochil 2000s,23/08/2008,3:39:56,131.1%
19,Caerketton Hill Race,13/08/2008,0:16:04,125.7%
17,Turnhouse Hill Race,23/07/2008,0:30:45,120.2%
29,Isle of Mull Fell Race,19/07/2008,2:09:36,122.2%
16,Ben Sheann Hill Race,18/06/2008,0:29:33,115.5%
93,Durisdeer Hill Race,14/06/2008,1:47:21,131.1%
19,Cort-ma Law Hill Race,11/06/2008,0:55:56,115.9%
17,Kilpatricks Hill Race,04/06/2008,0:52:05,117.0%
17,Ben Lomond Hill Race,10/05/2008,1:22:24,113.9%
50,Dumyat Hill Race,07/05/2008,0:43:00,126.0%
26,Stuc a`Chroin Hill Race,03/05/2008,2:48:19,124.2%
18,Whangie Whizz,23/04/2008,0:33:26,114.9%
33,Knockfarrel Hill Race,12/04/2008,0:46:18,122.8%
6,Criffel Hill Race,23/03/2008,1:02:57,115.6%
9,Birnam Hill Race,08/03/2008,0:38:05,119.3%
48,Bishop Hill Race,02/03/2008,0:22:20,127.7%
44,Tinto Hill Race,10/11/2007,0:38:38,127.4%
16,Turnhouse Hill Race,25/07/2007,0:33:06,118.4%
13,Cort-ma Law Hill Race,20/06/2007,0:57:23,109.8%
6,Glen Rosa Horseshoe,16/06/2007,3:04:56,116.6%
16,Ben Sheann Hill Race,13/06/2007,0:29:46,113.3%
9,Kilpatricks Hill Race,06/06/2007,0:53:17,110.1%
50,Dumyat Hill Race,09/05/2007,0:41:48,127.2%
11,Kaim Hill Race,02/05/2007,0:35:39,115.9%
28,Whangie Whizz,25/04/2007,0:34:22,121.8%
7,Chapelgill Hill Race,17/03/2007,0:24:15,114.1%
41,Tinto Hill Race,11/11/2006,0:40:40,127.5%
18,Caerketton Hill Race,09/08/2006,0:16:31,125.9%
17,Maddy Moss Hill Race,19/07/2006,1:02:15,115.6%
19,Kilpatricks Hill Race,07/06/2006,0:56:08,122.0%
30,Cathkin Braes Hill Race,19/04/2006,0:44:38,127.8%
22,Bishop Hill Race,05/03/2006,0:23:06,128.0%
15,Caerketton Hill Race,10/08/2005,0:16:17,121.8%
27,Glamaig Hill Race,16/07/2005,1:04:24,132.1%
104,Culter Fell Horseshoe Race,25/06/2005,2:36:07,143.4%
12,Glen Rosa Horseshoe,11/06/2005,3:30:59,132.9%
12,Cathkin Braes Hill Race,20/04/2005,0:45:26,117.4%
40,Bishop Hill Race,06/03/2005,0:24:05,125.2%
99,Carnethy 5 Hill Race,12/02/2005,1:04:19,123.3%
