Position, RaceName,Date,Time,Winner
42,Kilpatricks Hill Race,01/06/2011,1:00:21,131.3%
68,Ben Lomond Hill Race,07/05/2011,1:39:26,134.9%
92,Birnam Hill Race,26/03/2011,0:39:00,135.8%
20,Criffel Hill Race,20/03/2011,1:13:16,128.7%
88,Pentland Skyline,10/10/2010,3:30:18,145.5%
13,Merrick Hill Race,19/09/2010,2:02:47,132.6%
71,Ochil 2000s,28/08/2010,4:24:04,158.5%
38,Caerketton Hill Race,11/08/2010,0:17:38,134.3%
60,Kilpatricks Hill Race,02/06/2010,0:58:36,136.3%
40,Goatfell Race,15/05/2010,1:51:15,136.4%
90,Dumyat Hill Race,05/05/2010,0:46:12,136.8%
57,Whangie Whizz,28/04/2010,0:37:05,135.3%
30,Kaim Hill Race,21/04/2010,0:38:42,131.2%
46,Hunters Bog Trot,17/04/2010,0:40:04,137.8%
185,Tinto Hill Race,07/11/2009,0:47:48,151.9%
52,Kilpatricks Hill Race,03/06/2009,1:00:04,139.3%
154,Dumyat Hill Race,06/05/2009,0:52:39,150.4%
