Position, RaceName,Date,Time,Winner
98,Run of the Mill,27/10/2013,1:40:44,142.3%
97,Two Breweries Hill Race,28/09/2013,4:46:17,169.6%
274,Ben Nevis Race,07/09/2013,2:34:25,171.4%
85,Ochil 2000s,24/08/2013,4:04:03,151.1%
73,Tap o`Noth Hill Race,17/08/2013,0:47:25,141.8%
44,Cairn Table Hill Race,24/07/2013,0:42:27,135.3%
44,Maddy Moss Hill Race,10/07/2013,1:10:08,136.0%
72,Turnhouse Hill Race,03/07/2013,0:35:54,138.6%
40,The Law Breaker,26/06/2013,0:51:03,132.8%
34,Ben Sheann Hill Race,12/06/2013,0:36:57,138.8%
40,Cort-ma Law Hill Race,05/06/2013,1:05:18,128.7%
90,Kilpatricks Hill Race,29/05/2013,1:04:18,137.8%
132,Isle of Jura Fell Race,25/05/2013,5:16:45,159.6%
111,Goatfell Race,18/05/2013,1:55:17,151.8%
162,Stuc a`Chroin Hill Race,04/05/2013,3:52:59,177.6%
52,Beinn Dubh  Luss,24/04/2013,0:50:06,133.1%
47,Kaim Hill Race,17/04/2013,0:42:52,140.1%
244,Carnethy 5 Hill Race,16/02/2013,1:12:51,146.4%
303,Ben Nevis Race,01/09/2012,2:35:37,173.0%
15,Helensburgh Games Race,02/06/2012,0:48:47,133.9%
78,Ben Lomond Hill Race,12/05/2012,1:36:52,137.1%
152,Dumyat Hill Race,09/05/2012,0:47:52,147.8%
101,Stuc a`Chroin Hill Race,05/05/2012,3:20:16,153.4%
30,Kaim Hill Race,18/04/2012,0:38:14,123.2%
109,Clachnaben Hill Race,07/04/2012,1:34:22,150.5%
21,Chapelgill Hill Race,17/03/2012,0:28:16,133.3%
32,Criffel Hill Race,11/03/2012,1:16:16,130.5%
53,Bishop Hill Race,04/03/2012,0:25:24,132.6%
64,Conic Hill Race,25/02/2012,0:34:54,140.6%
244,Carnethy 5 Hill Race,11/02/2012,1:15:04,156.8%
238,Ben Nevis Race,03/09/2011,2:25:09,162.5%
50,Maddy Moss Hill Race,13/07/2011,1:09:35,137.7%
22,Ben Sheann Hill Race,15/06/2011,0:35:51,131.4%
33,Cort-ma Law Hill Race,08/06/2011,1:05:56,132.2%
50,Kilpatricks Hill Race,01/06/2011,1:01:20,133.4%
111,Isle of Jura Fell Race,28/05/2011,5:16:49,157.0%
153,Dumyat Hill Race,04/05/2011,0:48:26,146.3%
69,Whangie Whizz,27/04/2011,0:36:35,134.3%
26,Kaim Hill Race,20/04/2011,0:39:13,122.5%
19,Chapelgill Hill Race,19/03/2011,0:28:47,125.5%
32,Conic Hill Race,26/02/2011,0:36:20,135.7%
203,Carnethy 5 Hill Race,12/02/2011,1:14:51,148.2%
30,Ben Venue Hill Race,02/10/2010,1:33:08,131.3%
168,Ben Nevis Race,04/09/2010,2:13:37,139.7%
43,Caerketton Hill Race,11/08/2010,0:17:51,135.9%
144,Dollar Hill Race,31/07/2010,1:42:04,140.2%
60,Tom na Bat Hill Race,17/07/2010,0:37:20,132.2%
30,Alva Games Hill Race,10/07/2010,0:28:41,143.3%
52,Glen Rosa Horseshoe,19/06/2010,3:28:34,142.5%
23,Ben Sheann Hill Race,16/06/2010,0:35:00,125.9%
8,Cairn Table Hill Race,12/06/2010,0:38:50,118.9%
42,Cort-ma Law Hill Race,09/06/2010,1:01:57,126.0%
54,Kilpatricks Hill Race,02/06/2010,0:57:05,132.8%
79,Isle of Jura Fell Race,29/05/2010,4:45:26,136.8%
28,Goatfell Race,15/05/2010,1:43:00,126.3%
