Position, RaceName,Date,Time,Winner
69,Dumyat Hill Race,05/05/2010,0:44:46,132.5%
53,Whangie Whizz,28/04/2010,0:36:48,134.2%
24,Kaim Hill Race,21/04/2010,0:37:36,127.5%
74,Chapelgill Hill Race,20/03/2010,0:27:03,140.6%
25,Bishop Hill Race,07/03/2010,0:26:01,128.8%
174,Carnethy 5 Hill Race,13/02/2010,1:10:05,144.0%
237,Ben Nevis Race,05/09/2009,2:22:24,153.9%
33,Caerketton Hill Race,12/08/2009,0:17:37,134.8%
39,Creag Dhubh Hill Race,01/08/2009,0:38:47,135.1%
54,Maddy Moss Hill Race,15/07/2009,1:07:17,132.9%
10,Glen Rosa Horseshoe,20/06/2009,3:18:16,128.1%
20,Ben Sheann Hill Race,17/06/2009,0:32:10,133.9%
45,Isle of Jura Fell Race,23/05/2009,5:03:17,132.0%
78,Dumyat Hill Race,06/05/2009,0:46:16,132.2%
165,Stuc a`Chroin Hill Race,02/05/2009,3:08:00,150.0%
26,Kaim Hill Race,29/04/2009,0:40:12,138.3%
22,Chapelgill Hill Race,21/03/2009,0:27:30,140.5%
36,Bishop Hill Race,01/03/2009,0:23:58,135.0%
157,Carnethy 5 Hill Race,14/02/2009,1:11:33,134.9%
201,Ben Nevis Race,06/09/2008,2:15:27,151.8%
55,Ochil 2000s,23/08/2008,3:34:04,127.6%
51,Isle of Mull Fell Race,19/07/2008,2:33:27,144.7%
24,Ben Sheann Hill Race,18/06/2008,0:31:27,122.9%
134,Durisdeer Hill Race,14/06/2008,1:57:04,143.0%
30,Cort-ma Law Hill Race,11/06/2008,0:59:33,123.4%
38,Kilpatricks Hill Race,04/06/2008,0:55:45,125.2%
64,Isle of Jura Fell Race,24/05/2008,4:34:18,146.0%
71,Dumyat Hill Race,07/05/2008,0:45:07,132.2%
52,Stuc a`Chroin Hill Race,03/05/2008,3:04:14,135.9%
14,Kaim Hill Race,30/04/2008,0:36:57,117.2%
50,Whangie Whizz,23/04/2008,0:36:35,125.7%
18,Criffel Hill Race,23/03/2008,1:08:58,126.7%
13,Chapelgill Hill Race,15/03/2008,0:26:37,131.1%
69,Bishop Hill Race,02/03/2008,0:23:56,136.9%
174,Carnethy 5 Hill Race,16/02/2008,1:09:12,146.7%
44,Greenmantle Dash,02/01/2008,0:22:57,128.5%
29,Merrick Hill Race,15/09/2007,1:46:25,126.6%
34,Devils Beeftub Race,08/09/2007,0:25:29,128.5%
168,Ben Nevis Race,01/09/2007,2:13:33,143.7%
42,Lomonds of Fife Hill Race,19/08/2007,1:57:06,131.0%
29,Caerketton Hill Race,08/08/2007,0:17:01,125.3%
23,Turnhouse Hill Race,25/07/2007,0:34:18,122.7%
25,Arrochar Alps,30/06/2007,4:43:31,132.4%
28,Cort-ma Law Hill Race,20/06/2007,1:02:06,118.8%
9,Glen Rosa Horseshoe,16/06/2007,3:11:39,120.8%
30,Ben Sheann Hill Race,13/06/2007,0:32:24,123.4%
24,Kilpatricks Hill Race,06/06/2007,0:57:09,118.0%
59,Isle of Jura Fell Race,26/05/2007,4:37:28,139.8%
65,Goatfell Race,19/05/2007,1:28:17,136.9%
91,Dumyat Hill Race,09/05/2007,0:44:37,135.8%
76,Stuc a`Chroin Hill Race,05/05/2007,2:56:30,131.3%
54,Whangie Whizz,25/04/2007,0:36:54,130.8%
12,Chapelgill Hill Race,17/03/2007,0:25:19,119.1%
165,Carnethy 5 Hill Race,17/02/2007,1:08:01,141.8%
136,Ben Nevis Race,02/09/2006,2:11:16,146.6%
23,Caerketton Hill Race,09/08/2006,0:16:59,129.5%
32,Moffat Chase,15/07/2006,4:09:56,142.6%
96,Dollar Hill Race,01/07/2006,1:38:02,136.4%
24,Cort-ma Law Hill Race,21/06/2006,1:03:45,124.3%
22,Ben Sheann Hill Race,14/06/2006,0:36:19,125.8%
45,Glen Rosa Horseshoe,10/06/2006,3:25:55,138.6%
21,Kilpatricks Hill Race,07/06/2006,0:56:11,122.1%
50,Scolty Hill Race,04/06/2006,0:42:11,127.5%
43,Isle of Jura Fell Race,27/05/2006,4:42:35,133.5%
38,Goatfell Race,20/05/2006,1:40:20,129.0%
44,Dumyat Hill Race,10/05/2006,0:43:09,125.9%
77,Ben Lomond Hill Race,06/05/2006,1:28:01,133.4%
19,Kaim Hill Race,03/05/2006,0:36:26,118.9%
54,Whangie Whizz,26/04/2006,0:36:04,128.3%
34,Cathkin Braes Hill Race,19/04/2006,0:45:42,130.9%
28,Bishop Hill Race,05/03/2006,0:24:01,133.1%
160,Carnethy 5 Hill Race,11/02/2006,1:09:18,141.9%
23,Manor Water Hill Race,08/10/2005,1:26:40,118.7%
118,Ben Nevis Race,03/09/2005,2:09:49,145.3%
26,Glen Clova Hill Race,28/08/2005,4:44:36,150.2%
121,Culter Fell Horseshoe Race,25/06/2005,2:45:16,151.8%
20,Ben Sheann Hill Race,15/06/2005,0:34:22,130.9%
33,Yetholm Hill Race,12/06/2005,1:21:46,127.9%
19,Kilpatricks Hill Race,01/06/2005,0:55:59,117.0%
35,Goatfell Race,14/05/2005,1:40:40,129.4%
55,Dumyat Hill Race,11/05/2005,0:44:31,126.3%
40,Ben Lomond Hill Race,07/05/2005,1:30:06,128.0%
15,Kaim Hill Race,04/05/2005,0:35:47,117.4%
43,Whangie Whizz,27/04/2005,0:36:17,131.3%
15,Cathkin Braes Hill Race,20/04/2005,0:45:48,118.4%
41,Bishop Hill Race,06/03/2005,0:24:10,125.6%
156,Carnethy 5 Hill Race,12/02/2005,1:07:58,130.3%
52,Greenmantle Dash,02/01/2005,0:22:44,138.3%
