Position, RaceName,Date,Time,Winner
35,Tinto Hill Race,09/11/2013,0:39:55,124.8%
45,Ochil 2000s,24/08/2013,3:29:30,129.7%
7,Ben Ledi Hill Race,01/06/2013,1:04:13,118.0%
34,Kilpatricks Hill Race,29/05/2013,0:56:25,120.9%
124,Carnethy 5 Hill Race,16/02/2013,1:04:59,130.6%
29,Ben Venue Hill Race,06/10/2012,1:39:07,131.6%
13,Cairn Table Hill Race,22/08/2012,0:39:11,114.2%
22,Conic Hill Race,25/02/2012,0:29:56,120.6%
86,Carnethy 5 Hill Race,11/02/2012,1:03:28,132.5%
42,Tinto Hill Race,12/11/2011,0:39:42,128.7%
34,Yetholm Hill Race,05/06/2011,1:17:34,122.3%
17,Kilpatricks Hill Race,01/06/2011,0:52:49,114.9%
45,Birnam Hill Race,26/03/2011,0:35:15,122.8%
89,Carnethy 5 Hill Race,12/02/2011,1:05:45,130.2%
87,Dollar Hill Race,31/07/2010,1:32:48,127.5%
49,Ben Lomond Hill Race,08/05/2010,1:27:12,132.4%
35,Stuc a`Chroin Hill Race,01/05/2010,2:52:27,127.1%
14,Meall nan Tarmachan,18/04/2010,1:01:41,116.8%
53,Chapelgill Hill Race,20/03/2010,0:25:38,133.3%
11,Deuchary Hill Canter,07/03/2010,1:06:32,104.0%
32,Tinto Hill Race,07/11/2009,0:37:52,120.3%
34,Pentland Skyline,11/10/2009,3:04:26,126.4%
16,Ben Venue Hill Race,03/10/2009,0:58:54,114.9%
21,Ochil 2000s,29/08/2009,3:24:29,121.4%
17,Goatfell Race,16/05/2009,1:38:52,127.6%
41,Ben Lomond Hill Race,09/05/2009,1:32:40,127.6%
8,Criffel Hill Race,22/03/2009,1:03:29,115.6%
41,Pentland Skyline,12/10/2008,3:09:21,127.9%
67,Two Breweries Hill Race,27/09/2008,3:43:03,132.8%
50,Ochil 2000s,23/08/2008,3:32:31,126.7%
41,Bishop Hill Race,02/03/2008,0:21:38,123.7%
80,Carnethy 5 Hill Race,16/02/2008,1:02:05,131.6%
41,Tinto Hill Race,10/11/2007,0:38:10,125.9%
25,Devils Beeftub Race,08/09/2007,0:24:37,124.1%
7,Kilpatricks Hill Race,06/06/2007,0:52:51,109.2%
32,Goatfell Race,19/05/2007,1:18:27,121.7%
57,Stuc a`Chroin Hill Race,05/05/2007,2:45:53,123.4%
8,Kaim Hill Race,02/05/2007,0:34:17,111.4%
20,Whangie Whizz,25/04/2007,0:32:33,115.4%
22,Tinto Hill Race,11/11/2006,0:38:02,119.3%
39,Tinto Hill Race,12/11/2005,0:38:27,124.2%
