Position, RaceName,Date,Time,Winner
32,Run of the Mill,27/10/2013,1:24:09,118.9%
13,Ben Venue Hill Race,05/10/2013,1:25:16,117.7%
20,Two Breweries Hill Race,28/09/2013,3:24:54,121.4%
69,Ben Nevis Race,07/09/2013,2:00:29,133.7%
22,Caerketton Hill Race,14/08/2013,0:21:59,115.6%
12,Cairn Table Hill Race,24/07/2013,0:34:46,110.8%
15,Maddy Moss Hill Race,10/07/2013,0:59:48,115.9%
14,Glamaig Hill Race,06/07/2013,0:59:12,128.8%
15,Turnhouse Hill Race,03/07/2013,0:28:43,110.9%
9,The Law Breaker,26/06/2013,0:41:41,108.5%
24,Red Moss Revolution,19/06/2013,0:40:05,113.0%
8,Ben Sheann Hill Race,12/06/2013,0:29:58,112.6%
21,Kilpatricks Hill Race,29/05/2013,0:52:35,112.7%
35,Isle of Jura Fell Race,25/05/2013,4:12:24,127.2%
20,Beinn Dubh  Luss,24/04/2013,0:43:34,115.8%
12,Kaim Hill Race,17/04/2013,0:35:06,114.7%
119,Carnethy 5 Hill Race,16/02/2013,1:04:49,130.2%
15,Meall a`Bhuachaille,27/10/2012,1:15:41,120.6%
23,Run of the Mill,21/10/2012,1:27:55,120.7%
33,Pentland Skyline,14/10/2012,3:07:16,126.9%
35,Two Breweries Hill Race,22/09/2012,3:31:20,122.9%
48,Ben Nevis Race,01/09/2012,1:56:56,130.0%
17,Ochil 2000s,25/08/2012,3:18:49,124.8%
9,Cairn Table Hill Race,22/08/2012,0:37:41,109.8%
12,Maddy Moss Hill Race,11/07/2012,1:01:33,113.1%
18,The Law Breaker,27/06/2012,0:45:16,115.5%
19,Red Moss Revolution,20/06/2012,0:40:23,112.4%
12,Cort-ma Law Hill Race,06/06/2012,0:55:50,117.3%
20,Kilpatricks Hill Race,30/05/2012,0:52:42,117.9%
52,Isle of Jura Fell Race,26/05/2012,4:34:49,139.0%
20,Ben Lomond Hill Race,12/05/2012,1:21:56,116.0%
46,Dumyat Hill Race,09/05/2012,0:41:27,128.0%
8,Kaim Hill Race,18/04/2012,0:33:57,109.4%
77,Carnethy 5 Hill Race,11/02/2012,1:02:45,131.0%
25,Tinto Hill Race,12/11/2011,0:37:02,120.0%
28,Run of the Mill,23/10/2011,1:24:26,121.1%
11,Manor Water Hill Race,08/10/2011,1:21:19,118.5%
38,Two Breweries Hill Race,24/09/2011,3:38:52,124.4%
51,Devils Beeftub Race (men),10/09/2011,0:25:43,130.2%
30,Ochil 2000s,27/08/2011,3:36:40,129.6%
37,Red Moss Revolution,22/06/2011,0:42:44,125.0%
6,Ben Sheann Hill Race,15/06/2011,0:31:27,115.3%
12,Cort-ma Law Hill Race,08/06/2011,0:57:05,114.4%
32,Isle of Jura Fell Race,28/05/2011,4:10:21,124.0%
35,Dumyat Hill Race,04/05/2011,0:40:37,122.7%
23,Whangie Whizz,27/04/2011,0:31:24,115.2%
33,Tinto Hill Race,13/11/2010,0:38:33,120.4%
20,Meall a`Bhuachaille,30/10/2010,1:04:07,126.8%
17,Run of the Mill,24/10/2010,1:24:25,116.7%
12,Ben Venue Hill Race,02/10/2010,1:25:50,121.0%
107,Ben Nevis Race,04/09/2010,2:07:10,132.9%
10,Ben Sheann Hill Race,16/06/2010,0:31:22,112.8%
23,Cort-ma Law Hill Race,09/06/2010,0:58:27,118.9%
23,Kilpatricks Hill Race,02/06/2010,0:52:19,121.7%
30,Dumyat Hill Race,05/05/2010,0:41:34,123.0%
22,Whangie Whizz,28/04/2010,0:32:39,119.1%
11,Kaim Hill Race,21/04/2010,0:35:00,118.6%
23,The Law Breaker,27/12/2009,0:41:17,127.8%
45,Tinto Hill Race,07/11/2009,0:38:29,122.3%
80,Ben Nevis Race,05/09/2009,1:59:29,129.1%
20,Ben Rinnes Hill Race,25/07/2009,2:26:15,125.1%
26,Cort-ma Law Hill Race,10/06/2009,0:56:38,116.6%
19,Kilpatricks Hill Race,03/06/2009,0:52:15,121.2%
17,Ben Lomond Hill Race,09/05/2009,1:25:47,118.1%
112,Carnethy 5 Hill Race,14/02/2009,1:08:28,129.1%
15,Ben Rinnes Hill Race,26/07/2008,2:32:58,119.5%
28,Ben Lomond Hill Race,12/05/2007,1:24:59,123.9%
