Position, RaceName,Date,Time,Winner
113,Run of the Mill,27/10/2013,1:44:29,147.6%
130,Pentland Skyline,13/10/2013,3:50:57,169.3%
21,Nebit Downfall,04/09/2013,0:06:08,128.7%
12,Bishop Downhill,28/08/2013,0:05:14,113.8%
93,Ochil 2000s,24/08/2013,4:20:06,161.0%
39,Cairn Table Hill Race,24/07/2013,0:41:59,133.8%
45,Turnhouse Hill Race,03/07/2013,0:32:26,125.2%
36,The Law Breaker,26/06/2013,0:50:21,131.0%
28,Ben Sheann Hill Race,12/06/2013,0:35:31,133.4%
24,Cort-ma Law Hill Race,05/06/2013,1:00:05,118.4%
29,Gargunnock Hill Race,01/06/2013,0:40:59,131.7%
17,Ben Ledi Hill Race,01/06/2013,1:10:32,129.6%
28,Kilpatricks Hill Race,29/05/2013,0:55:27,118.9%
49,Ben Lomond Hill Race,11/05/2013,1:32:12,134.6%
68,Dumyat Hill Race,08/05/2013,0:44:45,126.4%
33,Beinn Dubh  Luss,24/04/2013,0:46:13,122.8%
25,Kaim Hill Race,17/04/2013,0:37:53,123.8%
36,Bishop Hill Race,03/03/2013,0:23:16,124.6%
26,Nebit Moonrace,12/12/2012,0:31:01,126.9%
166,Pentland Skyline,14/10/2012,3:53:39,158.3%
44,Ben Venue Hill Race,06/10/2012,1:44:33,138.8%
18,Cairn Table Hill Race,22/08/2012,0:41:32,121.0%
69,Maddy Moss Hill Race,11/07/2012,1:21:45,150.2%
10,Helensburgh Games Race,02/06/2012,0:47:36,130.6%
57,Kilpatricks Hill Race,30/05/2012,1:00:44,135.9%
179,Dumyat Hill Race,09/05/2012,0:49:03,151.5%
55,Kaim Hill Race,18/04/2012,0:42:39,137.4%
