Position, RaceName,Date,Time,Winner
68,Two Breweries Hill Race,28/09/2013,4:11:49,149.2%
5,Cort-ma Law Hill Race,05/06/2013,0:52:51,104.2%
21,Dumyat Hill Race,04/05/2011,0:38:50,117.3%
3,Kaim Hill Race,20/04/2011,0:32:34,101.7%
42,Chapelgill Hill Race,20/03/2010,0:24:52,129.3%
10,Pentland Skyline,11/10/2009,2:48:13,115.3%
16,Two Breweries Hill Race,26/09/2009,3:17:08,117.7%
10,Ochil 2000s,29/08/2009,3:01:36,107.8%
8,Glenshee 9,09/08/2009,3:45:44,112.7%
11,Creag Dhubh Hill Race,01/08/2009,0:33:11,115.6%
11,Ben Rinnes Hill Race,25/07/2009,2:14:55,115.4%
6,Glen Rosa Horseshoe,20/06/2009,3:02:50,118.1%
12,Cort-ma Law Hill Race,10/06/2009,0:53:06,109.3%
27,Isle of Jura Fell Race,23/05/2009,4:46:39,124.7%
18,Dumyat Hill Race,06/05/2009,0:39:55,114.0%
68,Stuc a`Chroin Hill Race,02/05/2009,2:38:16,126.3%
10,Whangie Whizz,22/04/2009,0:31:07,113.2%
6,Pentland Skyline,12/10/2008,2:42:31,109.7%
11,Two Breweries Hill Race,27/09/2008,3:02:18,108.5%
4,Ochil 2000s,23/08/2008,2:50:02,101.4%
7,Glenshee 9,10/08/2008,3:40:37,106.9%
2,Ben Rinnes Hill Race,26/07/2008,2:11:14,102.5%
9,Maddy Moss Hill Race,16/07/2008,0:54:40,110.5%
7,Arrochar Alps,28/06/2008,3:47:31,109.8%
50,Durisdeer Hill Race,14/06/2008,1:38:36,120.4%
3,Cort-ma Law Hill Race,11/06/2008,0:50:49,105.3%
19,Isle of Jura Fell Race,24/05/2008,3:53:53,124.5%
13,Dumyat Hill Race,07/05/2008,0:38:16,112.1%
7,Stuc a`Chroin Hill Race,03/05/2008,2:31:46,112.0%
5,Whangie Whizz,23/04/2008,0:30:09,103.6%
22,Bishop Hill Race,02/03/2008,0:20:31,117.3%
51,Carnethy 5 Hill Race,16/02/2008,0:59:17,125.6%
3,Manor Water Hill Race,13/10/2007,1:13:18,106.5%
12,Two Breweries Hill Race,22/09/2007,3:12:00,114.9%
16,Merrick Hill Race,15/09/2007,1:36:25,114.7%
19,Glen Clova Hill Race,14/07/2007,3:01:47,114.2%
18,Arrochar Alps,30/06/2007,4:30:37,126.4%
2,Cort-ma Law Hill Race,20/06/2007,0:52:38,100.7%
6,Durisdeer Hill Race,17/06/2007,1:52:31,112.4%
1,Cairn Table Hill Race,16/06/2007,0:33:53,100.0%
21,Isle of Jura Fell Race,26/05/2007,4:06:39,124.2%
9,Kinnoull Hill Race,16/05/2007,0:27:49,108.2%
8,Ben Lomond Hill Race,12/05/2007,1:17:07,112.4%
24,Stuc a`Chroin Hill Race,05/05/2007,2:34:38,115.1%
8,Whangie Whizz,25/04/2007,0:31:14,110.7%
6,Hunters Bog Trot,21/04/2007,0:30:32,110.6%
18,Clachnaben Hill Race,14/04/2007,1:45:17,120.1%
23,Greenmantle Dash,02/01/2007,0:20:24,126.3%
9,Two Breweries Hill Race,23/09/2006,3:16:53,114.1%
4,Maddy Moss Hill Race,19/07/2006,0:57:28,106.7%
20,Moffat Chase,15/07/2006,3:47:53,130.0%
50,Dollar Hill Race,01/07/2006,1:26:47,120.7%
4,Cort-ma Law Hill Race,21/06/2006,0:52:38,102.7%
35,Glen Rosa Horseshoe,10/06/2006,3:13:54,130.5%
34,Scolty Hill Race,04/06/2006,0:39:34,119.6%
6,Goatfell Race,20/05/2006,1:28:36,113.9%
12,Kinnoull Hill Race,17/05/2006,0:29:00,112.1%
21,Dumyat Hill Race,10/05/2006,0:39:19,114.7%
46,Ben Lomond Hill Race,06/05/2006,1:20:48,122.5%
3,Kaim Hill Race,03/05/2006,0:31:54,104.1%
8,Whangie Whizz,26/04/2006,0:30:33,108.7%
7,Criffel Hill Race,19/03/2006,1:09:36,110.9%
84,Carnethy 5 Hill Race,11/02/2006,1:02:49,128.6%
50,Tinto Hill Race,12/11/2005,0:39:19,127.0%
6,Manor Water Hill Race,08/10/2005,1:15:42,103.7%
15,Two Breweries Hill Race,24/09/2005,3:19:24,117.2%
5,Glen Clova Hill Race,28/08/2005,3:13:05,101.9%
8,Ben Rinnes Hill Race,30/07/2005,2:13:20,113.9%
15,Maddy Moss Hill Race,20/07/2005,0:59:18,117.4%
8,Cort-ma Law Hill Race,22/06/2005,0:54:06,105.9%
8,Kilpatricks Hill Race,01/06/2005,0:51:07,106.9%
15,Whangie Whizz,27/04/2005,0:32:46,118.6%
4,Cathkin Braes Hill Race,20/04/2005,0:40:46,105.4%
