Position, RaceName,Date,Time,Winner
62,Ben Lomond Hill Race,11/05/2013,1:37:02,141.7%
42,Maddy Moss Hill Race,11/07/2012,1:11:06,130.6%
43,Red Moss Revolution,20/06/2012,0:44:44,124.5%
17,Ben Sheann Hill Race,13/06/2012,0:35:25,132.2%
12,Gargunnock Hill Race,02/06/2012,0:38:34,125.9%
45,Kilpatricks Hill Race,30/05/2012,0:58:27,130.8%
66,Ben Lomond Hill Race,12/05/2012,1:33:32,132.4%
145,Dumyat Hill Race,09/05/2012,0:47:21,146.2%
37,Kaim Hill Race,18/04/2012,0:39:30,127.3%
57,Conic Hill Race,25/02/2012,0:34:15,138.0%
220,Carnethy 5 Hill Race,11/02/2012,1:13:15,153.0%
40,Kilpatricks Hill Race,01/06/2011,0:59:45,130.0%
75,Ben Lomond Hill Race,07/05/2011,1:41:25,137.6%
132,Dumyat Hill Race,04/05/2011,0:47:43,144.2%
246,Carnethy 5 Hill Race,12/02/2011,1:18:02,154.5%
86,Ben Lomond Hill Race,08/05/2010,1:32:50,141.0%
169,Carnethy 5 Hill Race,13/02/2010,1:09:32,142.8%
241,Ben Nevis Race,05/09/2009,2:22:58,154.5%
60,Ben Lomond Hill Race,09/05/2009,1:37:47,134.6%
275,Carnethy 5 Hill Race,14/02/2009,1:19:18,149.5%
245,Ben Nevis Race,06/09/2008,2:21:54,159.1%
25,Cort-ma Law Hill Race,11/06/2008,0:58:58,122.2%
56,Kinnoull Hill Race,21/05/2008,0:32:20,128.6%
52,Ben Lomond Hill Race,10/05/2008,1:33:00,128.6%
105,Dumyat Hill Race,07/05/2008,0:47:20,138.7%
21,Kaim Hill Race,30/04/2008,0:38:18,121.5%
44,Whangie Whizz,23/04/2008,0:36:12,124.4%
265,Carnethy 5 Hill Race,16/02/2008,1:14:58,158.9%
51,Red Moss Revolution,15/08/2007,0:46:36,131.5%
26,Turnhouse Hill Race,25/07/2007,0:35:05,125.5%
52,Maddy Moss Hill Race,18/07/2007,1:08:28,130.0%
36,Ben Sheann Hill Race,13/06/2007,0:34:32,131.5%
37,Kilpatricks Hill Race,06/06/2007,1:00:10,124.3%
