Position, RaceName,Date,Time,Winner
32,Two Inns Race,10/08/2013,4:09:45,151.5%
42,Newtyle Hill Race,11/04/2012,0:38:48,143.3%
6,Grandtully Hill Race,08/04/2012,0:33:29,109.8%
185,Carnethy 5 Hill Race,11/02/2012,1:11:16,148.8%
39,Meall a`Bhuachaille,30/10/2010,1:09:20,137.1%
175,Ben Nevis Race,04/09/2010,2:14:23,140.5%
32,Ochil 2000s,28/08/2010,3:36:46,130.1%
13,Two Inns Race,21/08/2010,3:36:47,117.3%
20,Arrochar Alps,26/06/2010,4:41:07,134.7%
61,Ben Lomond Hill Race,08/05/2010,1:29:53,136.5%
41,Stuc a`Chroin Hill Race,01/05/2010,2:55:51,129.6%
69,Carnethy 5 Hill Race,13/02/2010,1:02:56,129.3%
21,The Law Breaker,27/12/2009,0:41:09,127.4%
43,Tinto Hill Race,07/11/2009,0:38:27,122.2%
24,Manor Water Hill Race,10/10/2009,1:25:31,124.2%
15,Ben Venue Hill Race,03/10/2009,0:58:28,114.0%
134,Ben Nevis Race,05/09/2009,2:07:10,137.4%
16,Ochil 2000s,29/08/2009,3:18:20,117.8%
24,Creag Dhubh Hill Race,01/08/2009,0:36:34,127.4%
30,Turnhouse Hill Race,22/07/2009,0:32:09,126.5%
48,Maddy Moss Hill Race,15/07/2009,1:06:08,130.6%
46,Dollar Hill Race,04/07/2009,1:46:54,146.1%
25,Traprain Law Hill Race,13/06/2009,0:50:05,122.0%
17,Criffel Hill Race,22/03/2009,1:07:48,123.5%
20,Chapelgill Hill Race,21/03/2009,0:26:52,137.3%
29,Bishop Hill Race,01/03/2009,0:23:07,130.2%
138,Carnethy 5 Hill Race,14/02/2009,1:10:23,132.7%
33,Ochil 2000s,23/08/2008,3:21:56,120.4%
26,Lomonds of Fife Hill Race,17/08/2008,1:56:09,122.5%
23,Caerketton Hill Race,13/08/2008,0:16:39,130.2%
25,Glenshee 9,10/08/2008,4:20:31,126.2%
32,Isle of Mull Fell Race,19/07/2008,2:13:21,125.8%
39,Maddy Moss Hill Race,16/07/2008,1:02:18,126.0%
20,Glamaig Hill Race,05/07/2008,1:06:20,133.6%
75,Isle of Jura Fell Race,24/05/2008,4:44:56,151.7%
70,Bishop Hill Race,02/03/2008,0:23:58,137.1%
32,Two Breweries Hill Race,22/09/2007,3:40:39,132.0%
11,Isle of Mull Fell Race,21/07/2007,2:31:23,131.3%
54,Maddy Moss Hill Race,18/07/2007,1:08:46,130.5%
16,Arrochar Alps,30/06/2007,4:28:05,125.2%
14,Glen Rosa Horseshoe,16/06/2007,3:17:18,124.4%
71,Tinto Hill Race,11/11/2006,0:43:12,135.5%
85,Pentland Skyline,08/10/2006,3:32:54,141.2%
30,Caerketton Hill Race,09/08/2006,0:17:41,134.8%
24,Ben Sheann Hill Race,14/06/2006,0:37:35,130.2%
43,Glen Rosa Horseshoe,10/06/2006,3:21:25,135.6%
60,Dumyat Hill Race,10/05/2006,0:44:52,130.9%
53,Whangie Whizz,26/04/2006,0:35:47,127.3%
32,Greenmantle Dash,02/01/2006,0:21:03,130.5%
47,Tinto Hill Race,12/11/2005,0:39:02,126.1%
49,Pentland Skyline,09/10/2005,3:22:03,138.5%
92,Ben Nevis Race,03/09/2005,2:03:59,138.7%
20,Caerketton Hill Race,10/08/2005,0:16:56,126.7%
17,Ben Sheann Hill Race,15/06/2005,0:33:02,125.8%
48,Yetholm Hill Race,12/06/2005,1:30:01,140.8%
58,Dumyat Hill Race,11/05/2005,0:44:47,127.0%
40,Stuc a`Chroin Hill Race,30/04/2005,3:08:16,132.5%
