Position, RaceName,Date,Time,Winner
15,Pentland Skyline,13/10/2013,2:53:10,127.0%
16,Two Breweries Hill Race,28/09/2013,3:22:25,119.9%
23,Ochil 2000s,24/08/2013,3:11:37,118.6%
13,Ben Rinnes Hill Race,28/07/2012,2:27:43,123.8%
65,Arrochar Alps,07/07/2012,4:14:43,136.0%
13,Glen Rosa Horseshoe,09/06/2012,3:02:58,132.3%
55,Isle of Jura Fell Race,26/05/2012,4:38:23,140.8%
22,Stuc a`Chroin Hill Race,05/05/2012,2:43:22,125.1%
4,Criffel Hill Race,20/03/2011,1:03:43,111.9%
17,Braemar Gathering Hill Race,04/09/2010,0:29:50,115.5%
16,Braemar Gathering Hill Race,05/09/2009,0:30:24,115.9%
1,Tap o`Noth Hill Race,15/08/2009,0:36:21,100.0%
3,Creag Dhubh Hill Race,02/08/2008,0:31:28,106.2%
