Position, RaceName,Date,Time,Winner
122,Tinto Hill Race,09/11/2013,0:46:30,145.4%
36,Creag Dhubh Hill Race,01/08/2009,0:38:36,134.5%
25,Ben Sheann Hill Race,17/06/2009,0:34:03,141.8%
16,Yetholm Hill Race,07/06/2009,1:26:13,121.4%
41,Kilpatricks Hill Race,03/06/2009,0:57:31,133.4%
31,Goatfell Race,16/05/2009,1:42:55,132.9%
88,Dumyat Hill Race,06/05/2009,0:47:00,134.3%
14,Gargunnock Hill Race,07/06/2008,0:39:13,127.5%
10,Glas Tulaichean Uphill,31/05/2008,0:51:12,135.4%
29,Kaim Hill Race,30/04/2008,0:41:06,130.4%
42,Greenmantle Dash,02/01/2007,0:21:53,135.5%
42,Two Breweries Hill Race,23/09/2006,4:17:00,149.0%
34,Ben Rinnes Hill Race,29/07/2006,2:43:44,133.0%
49,Moffat Chase,15/07/2006,4:40:41,160.2%
25,Cort-ma Law Hill Race,21/06/2006,1:04:44,126.3%
28,Kilpatricks Hill Race,07/06/2006,1:00:37,131.7%
65,Kinnoull Hill Race,17/05/2006,0:34:08,132.0%
43,Cathkin Braes Hill Race,19/04/2006,0:49:17,141.1%
46,Ben Rinnes Hill Race,30/07/2005,2:40:17,136.9%
40,Maddy Moss Hill Race,20/07/2005,1:07:15,133.2%
14,Cathkin Braes Hill Race,20/04/2005,0:45:30,117.6%
171,Carnethy 5 Hill Race,12/02/2005,1:08:53,132.0%
55,Greenmantle Dash,02/01/2005,0:23:03,140.3%
