Position, RaceName,Date,Time,Winner
46,Isle of Jura Fell Race,25/05/2013,4:22:57,132.5%
13,Run of the Mill,21/10/2012,1:22:07,112.7%
17,Pentland Skyline,14/10/2012,2:56:23,119.5%
8,Ben Venue Hill Race,06/10/2012,1:27:51,116.6%
20,Two Breweries Hill Race,22/09/2012,3:19:25,116.0%
13,Ochil 2000s,25/08/2012,3:08:52,118.6%
7,Lomonds of Fife Hill Race,19/08/2012,1:40:34,114.4%
48,Arrochar Alps,07/07/2012,3:54:38,125.3%
16,Cort-ma Law Hill Race,06/06/2012,0:58:22,122.6%
30,Kilpatricks Hill Race,30/05/2012,0:55:29,124.2%
34,Goatfell Race,19/05/2012,1:47:19,133.4%
19,Run of the Mill,23/10/2011,1:21:28,116.8%
23,Pentland Skyline,09/10/2011,3:03:09,115.8%
33,Ben Rinnes Hill Race,30/07/2011,2:33:40,134.8%
9,Arrochar Alps,25/06/2011,3:58:46,116.0%
6,Glen Rosa Horseshoe,18/06/2011,2:55:24,114.5%
8,Loch Lochy Munros,04/06/2011,2:35:22,116.6%
40,Isle of Jura Fell Race,28/05/2011,4:23:40,130.6%
13,Goatfell Race,14/05/2011,1:33:05,116.8%
16,Ben Lomond Hill Race,07/05/2011,1:23:18,113.0%
64,Carnethy 5 Hill Race,12/02/2011,1:02:48,124.3%
14,Pentland Skyline,10/10/2010,2:57:33,122.8%
81,Ben Nevis Race,04/09/2010,2:02:34,128.1%
110,Isle of Jura Fell Race,29/05/2010,5:02:45,145.1%
66,Ben Lomond Hill Race,08/05/2010,1:30:42,137.7%
57,Carnethy 5 Hill Race,13/02/2010,1:01:26,126.2%
32,Pentland Skyline,11/10/2009,3:03:57,126.1%
23,Ochil 2000s,29/08/2009,3:27:02,123.0%
16,Glenshee 9,09/08/2009,4:19:31,129.6%
13,Arrochar Alps,27/06/2009,4:13:23,120.3%
21,Ben Lomond Hill Race,09/05/2009,1:26:26,119.0%
106,Stuc a`Chroin Hill Race,02/05/2009,2:50:17,135.9%
23,Bishop Hill Race,01/03/2009,0:22:24,126.2%
105,Carnethy 5 Hill Race,14/02/2009,1:07:53,128.0%
59,Ben Lomond Hill Race,10/05/2008,1:36:03,132.8%
