Position, RaceName,Date,Time,Winner
25,Pentland Skyline,13/10/2013,3:01:18,132.9%
27,Two Breweries Hill Race,28/09/2013,3:37:07,128.6%
88,Ben Nevis Race,07/09/2013,2:04:15,137.9%
20,Cairn Table Hill Race,24/07/2013,0:36:32,116.5%
7,Largo Law Hill Race,22/06/2013,0:50:53,116.2%
15,Cort-ma Law Hill Race,05/06/2013,0:57:48,113.9%
15,Gargunnock Hill Race,01/06/2013,0:37:29,120.5%
13,Ben Ledi Hill Race,01/06/2013,1:08:42,126.2%
24,Kilpatricks Hill Race,29/05/2013,0:54:23,116.6%
29,Ben Lomond Hill Race,11/05/2013,1:26:35,126.4%
54,Dumyat Hill Race,08/05/2013,0:43:21,122.4%
44,Hunters Bog Trot,27/04/2013,0:35:33,132.5%
30,Beinn Dubh  Luss,24/04/2013,0:45:36,121.2%
17,Deuchary Hill Canter,31/03/2013,1:34:04,119.7%
13,Pentland Skyline,14/10/2012,2:54:18,118.1%
12,Two Breweries Hill Race,22/09/2012,3:10:09,110.6%
44,Ben Nevis Race,01/09/2012,1:56:09,129.2%
3,Baddinsgill Round,26/08/2012,1:49:36,101.4%
11,Cairn Table Hill Race,22/08/2012,0:38:28,112.1%
15,Lomonds of Fife Hill Race,19/08/2012,1:45:42,120.2%
17,Caerketton Hill Race,08/08/2012,0:21:27,114.7%
3,Callander Games Hill Race,29/07/2012,1:08:56,108.2%
9,Glen Rosa Horseshoe,09/06/2012,2:54:03,125.8%
5,Cort-ma Law Hill Race,06/06/2012,0:53:29,112.3%
17,Kilpatricks Hill Race,30/05/2012,0:51:57,116.3%
12,Goatfell Race,19/05/2012,1:32:57,115.5%
21,Ben Lomond Hill Race,12/05/2012,1:22:21,116.6%
37,Dumyat Hill Race,09/05/2012,0:40:40,125.6%
26,Deuchary Hill Canter,25/03/2012,1:45:58,126.2%
18,Conic Hill Race,25/02/2012,0:29:48,120.1%
73,Carnethy 5 Hill Race,11/02/2012,1:02:17,130.1%
29,Run of the Mill,23/10/2011,1:25:16,122.3%
32,Pentland Skyline,09/10/2011,3:07:28,118.5%
18,Two Breweries Hill Race,24/09/2011,3:20:33,113.9%
15,Ochil 2000s,27/08/2011,3:13:17,115.6%
15,Lomonds of Fife Hill Race,21/08/2011,1:42:41,117.0%
4,Callander Games Hill Race,31/07/2011,1:10:36,118.7%
12,Arrochar Alps,25/06/2011,4:16:25,124.6%
10,Glen Rosa Horseshoe,18/06/2011,2:57:08,115.6%
9,Cort-ma Law Hill Race,08/06/2011,0:56:08,112.5%
11,Goatfell Race,14/05/2011,1:31:52,115.3%
10,Ben Lomond Hill Race,07/05/2011,1:22:14,111.6%
36,Dumyat Hill Race,04/05/2011,0:40:40,122.9%
15,Whangie Whizz,27/04/2011,0:30:44,112.8%
7,Beinn Ratha Hill Race,23/04/2011,0:55:11,108.4%
45,Carnethy 5 Hill Race,12/02/2011,1:00:57,120.7%
9,Greenmantle Dash,03/01/2011,0:18:05,106.6%
17,Pentland Skyline,10/10/2010,2:59:09,123.9%
17,Two Breweries Hill Race,25/09/2010,3:20:59,124.6%
42,Ben Nevis Race,04/09/2010,1:55:49,121.1%
11,Ochil 2000s,28/08/2010,3:12:25,115.5%
9,Arrochar Alps,26/06/2010,4:02:39,116.2%
19,Red Moss Revolution,23/06/2010,0:40:03,112.7%
23,Glen Rosa Horseshoe,19/06/2010,2:54:32,119.2%
13,Ben Sheann Hill Race,16/06/2010,0:31:47,114.3%
7,Durisdeer Hill Race,12/06/2010,1:51:32,126.4%
18,Cort-ma Law Hill Race,09/06/2010,0:57:18,116.5%
7,Saugh Hill Race,06/06/2010,0:26:55,113.3%
