Position, RaceName,Date,Time,Winner
17,Gargunnock Hill Race,05/06/2010,0:36:37,116.4%
30,Kilpatricks Hill Race,02/06/2010,0:53:15,123.9%
53,Stuc a`Chroin Hill Race,01/05/2010,3:01:43,133.9%
27,Whangie Whizz,28/04/2010,0:33:24,121.8%
9,Isle of Mull Fell Race,24/04/2010,2:21:50,126.4%
12,Kaim Hill Race,21/04/2010,0:35:33,120.5%
23,Greenmantle Dash,02/01/2010,0:22:30,117.5%
15,Pentland Skyline,11/10/2009,2:54:16,119.4%
9,Ben Venue Hill Race,03/10/2009,0:56:20,109.8%
14,Two Breweries Hill Race,26/09/2009,3:15:40,116.8%
13,Ochil 2000s,29/08/2009,3:06:10,110.6%
8,Lomonds of Fife Hill Race,16/08/2009,1:48:38,107.7%
12,Caerketton Hill Race,12/08/2009,0:16:07,123.3%
11,Glenshee 9,09/08/2009,4:05:21,122.5%
14,Creag Dhubh Hill Race,01/08/2009,0:33:50,117.9%
5,Killin Highland Games Race,29/07/2009,0:26:25,114.0%
14,Ben Rinnes Hill Race,25/07/2009,2:18:11,118.2%
11,Turnhouse Hill Race,22/07/2009,0:29:06,114.5%
14,Maddy Moss Hill Race,15/07/2009,0:58:45,116.0%
12,Dollar Hill Race,04/07/2009,1:29:55,122.9%
19,Arrochar Alps,27/06/2009,4:33:29,129.8%
11,Red Moss Revolution,24/06/2009,0:39:40,113.2%
3,Glen Rosa Horseshoe,20/06/2009,2:52:17,111.3%
12,Ben Sheann Hill Race,17/06/2009,0:30:05,125.3%
20,Loch Lochy Munros,13/06/2009,2:38:43,125.4%
16,Cort-ma Law Hill Race,10/06/2009,0:54:27,112.1%
16,Kilpatricks Hill Race,03/06/2009,0:51:35,119.6%
13,Slioch Horseshoe,30/05/2009,2:39:35,122.4%
16,Ben Lomond Hill Race,09/05/2009,1:24:02,115.7%
33,Dumyat Hill Race,06/05/2009,0:41:35,118.8%
5,Hunters Bog Trot,18/04/2009,0:31:24,111.5%
5,Lairig Mor,14/03/2009,1:38:41,103.4%
11,Greenmantle Dash,02/01/2009,0:18:03,119.5%
13,The Law Breaker,28/12/2008,0:40:15,122.5%
25,Pentland Skyline,12/10/2008,2:58:09,120.3%
20,Two Breweries Hill Race,27/09/2008,3:10:20,113.3%
46,Ben Nevis Race,06/09/2008,1:52:35,126.2%
8,Ben Rinnes Hill Race,26/07/2008,2:25:09,113.4%
24,Isle of Mull Fell Race,19/07/2008,2:07:32,120.3%
14,Maddy Moss Hill Race,16/07/2008,0:57:43,116.7%
22,Alva Games Hill Race,12/07/2008,0:25:38,125.9%
14,Arrochar Alps,28/06/2008,3:57:38,114.6%
9,Red Moss Revolution,25/06/2008,0:39:19,111.0%
13,Ben Sheann Hill Race,18/06/2008,0:29:07,113.8%
70,Durisdeer Hill Race,14/06/2008,1:43:22,126.2%
9,Cort-ma Law Hill Race,11/06/2008,0:52:27,108.7%
10,Slioch Horseshoe,31/05/2008,2:24:43,118.5%
33,Isle of Jura Fell Race,24/05/2008,4:04:11,130.0%
14,Ben Lomond Hill Race,10/05/2008,1:21:26,112.6%
28,Dumyat Hill Race,07/05/2008,0:41:05,120.4%
4,Kaim Hill Race,30/04/2008,0:33:59,107.8%
9,Whangie Whizz,23/04/2008,0:31:49,109.3%
36,Carnethy 5 Hill Race,16/02/2008,0:56:49,120.4%
9,Greenmantle Dash,02/01/2008,0:18:52,105.6%
4,Manor Water Hill Race,13/10/2007,1:13:19,106.5%
8,Pentland Skyline,06/10/2007,2:49:14,111.6%
14,Two Breweries Hill Race,22/09/2007,3:14:42,116.5%
19,Ben Nevis Race,01/09/2007,1:46:03,114.1%
2,Ochil 2000s,25/08/2007,3:08:36,104.5%
13,Lomonds of Fife Hill Race,19/08/2007,1:39:49,111.7%
14,Red Moss Revolution,15/08/2007,0:38:50,109.5%
9,Dollar Hill Race,07/07/2007,1:30:03,106.7%
4,Cort-ma Law Hill Race,20/06/2007,0:53:02,101.4%
13,Isle of Jura Fell Race,26/05/2007,3:57:53,119.8%
30,Goatfell Race,19/05/2007,1:17:12,119.7%
10,Ben Lomond Hill Race,12/05/2007,1:17:17,112.6%
11,Stuc a`Chroin Hill Race,05/05/2007,2:26:28,109.0%
9,Criffel Hill Race,18/03/2007,0:43:29,115.8%
26,Carnethy 5 Hill Race,17/02/2007,0:56:26,117.6%
13,Greenmantle Dash,02/01/2007,0:19:02,117.9%
12,Manor Water Hill Race,14/10/2006,1:17:11,113.1%
21,Pentland Skyline,08/10/2006,2:56:04,116.8%
22,Two Breweries Hill Race,23/09/2006,3:43:26,129.5%
16,Moffat Chase,15/07/2006,3:43:00,127.3%
10,Cort-ma Law Hill Race,21/06/2006,0:56:08,109.5%
16,Glen Rosa Horseshoe,10/06/2006,2:52:13,115.9%
27,Scolty Hill Race,04/06/2006,0:38:50,117.4%
10,Isle of Jura Fell Race,27/05/2006,4:10:21,118.2%
28,Ben Lomond Hill Race,06/05/2006,1:17:38,117.7%
18,Stuc a`Chroin Hill Race,29/04/2006,2:41:23,114.9%
16,Bishop Hill Race,05/03/2006,0:22:21,123.8%
60,Carnethy 5 Hill Race,11/02/2006,1:00:40,124.2%
16,Greenmantle Dash,02/01/2006,0:19:25,120.4%
34,Tinto Hill Race,12/11/2005,0:38:04,123.0%
11,Pentland Skyline,09/10/2005,2:52:22,118.2%
11,Two Breweries Hill Race,24/09/2005,3:08:48,111.0%
42,Ben Nevis Race,03/09/2005,1:53:49,127.4%
10,Glen Clova Hill Race,28/08/2005,3:35:15,113.6%
11,Lomonds of Fife Hill Race,21/08/2005,1:19:14,116.1%
13,Caerketton Hill Race,10/08/2005,0:16:04,120.2%
22,Maddy Moss Hill Race,20/07/2005,1:00:46,120.3%
23,Glamaig Hill Race,16/07/2005,1:03:03,129.4%
66,Culter Fell Horseshoe Race,25/06/2005,2:17:27,126.2%
12,Cort-ma Law Hill Race,22/06/2005,0:57:34,112.7%
10,Ben Sheann Hill Race,15/06/2005,0:31:26,119.7%
22,Yetholm Hill Race,12/06/2005,1:16:50,120.2%
9,Kilpatricks Hill Race,01/06/2005,0:52:34,109.9%
23,Dumyat Hill Race,11/05/2005,0:41:19,117.2%
22,Ben Lomond Hill Race,07/05/2005,1:21:22,115.6%
10,Kaim Hill Race,04/05/2005,0:33:38,110.3%
11,Criffel Hill Race,20/03/2005,1:02:52,120.5%
19,Bishop Hill Race,06/03/2005,0:22:34,117.3%
53,Carnethy 5 Hill Race,12/02/2005,1:01:14,117.4%
18,Greenmantle Dash,02/01/2005,0:19:33,119.0%
