Position, RaceName,Date,Time,Winner
15,Run of the Mill,27/10/2013,1:18:46,111.3%
23,Two Breweries Hill Race,28/09/2013,3:34:49,127.3%
40,Ochil 2000s,24/08/2013,3:28:14,128.9%
16,Tap o`Noth Hill Race,17/08/2013,0:37:18,111.6%
6,Durisdeer Hill Race,08/06/2013,2:06:07,109.5%
117,Isle of Jura Fell Race,25/05/2013,5:05:47,154.1%
40,Carnethy 5 Hill Race,16/02/2013,0:59:45,120.1%
7,Greenmantle Dash,02/01/2013,0:18:08,115.0%
8,Nebit Moonrace,12/12/2012,0:27:36,113.0%
32,Tinto Hill Race,10/11/2012,0:39:27,123.0%
15,Dumyat Dash,03/11/2012,0:54:59,111.7%
20,Culter Fell Horseshoe Race,15/09/2012,2:51:48,134.6%
70,Stuc a`Chroin Hill Race,05/05/2012,3:09:30,145.1%
15,Kaim Hill Race,18/04/2012,0:35:23,114.0%
17,Criffel Hill Race,11/03/2012,1:08:51,117.8%
