Position, RaceName,Date,Time,Winner
24,Lomonds of Fife Hill Race,17/08/2008,1:55:02,121.3%
29,Maddy Moss Hill Race,16/07/2008,1:00:51,123.1%
23,Arrochar Alps,28/06/2008,4:57:59,143.7%
33,Red Moss Revolution,25/06/2008,0:44:50,126.6%
28,Kilpatricks Hill Race,04/06/2008,0:53:49,120.9%
18,Ben Lomond Hill Race,10/05/2008,1:22:46,114.4%
40,Dumyat Hill Race,07/05/2008,0:41:59,123.0%
20,Stuc a`Chroin Hill Race,03/05/2008,2:45:53,122.4%
19,Whangie Whizz,23/04/2008,0:33:28,115.0%
46,Manor Water Hill Race,13/10/2007,1:28:42,128.9%
47,Red Moss Revolution,15/08/2007,0:45:27,128.2%
28,Maddy Moss Hill Race,18/07/2007,1:02:50,119.3%
84,Glen Clova Hill Race,14/07/2007,4:13:51,159.5%
19,Ben Sheann Hill Race,13/06/2007,0:30:18,115.4%
21,Kilpatricks Hill Race,06/06/2007,0:56:11,116.0%
16,Kaim Hill Race,02/05/2007,0:36:24,118.3%
49,Whangie Whizz,25/04/2007,0:36:18,128.6%
22,Cort-ma Law Hill Race,21/06/2006,1:03:07,123.1%
22,Kilpatricks Hill Race,07/06/2006,0:57:05,124.0%
59,Dumyat Hill Race,10/05/2006,0:44:36,130.2%
