Position, RaceName,Date,Time,Winner
57,Ochil 2000s,24/08/2013,3:39:30,135.9%
48,Caerketton Hill Race,14/08/2013,0:24:23,128.2%
43,Turnhouse Hill Race,03/07/2013,0:32:08,124.1%
30,The Law Breaker,26/06/2013,0:48:49,127.0%
28,Cort-ma Law Hill Race,05/06/2013,1:01:18,120.8%
39,Gargunnock Hill Race,01/06/2013,0:42:41,137.2%
11,Ben Ledi Hill Race,01/06/2013,1:08:00,124.9%
84,Goatfell Race,18/05/2013,1:47:17,141.3%
27,Kaim Hill Race,17/04/2013,0:38:05,124.5%
19,Screel Hill Race,13/04/2013,0:36:00,125.2%
32,Deuchary Hill Canter,31/03/2013,1:45:47,134.6%
229,Carnethy 5 Hill Race,16/02/2013,1:11:51,144.4%
39,Callander Crags (Winter),05/01/2013,0:29:46,138.3%
32,Greenmantle Dash,02/01/2013,0:21:42,137.6%
31,Nebit Moonrace,12/12/2012,0:31:39,129.5%
62,Tinto Hill Race,10/11/2012,0:41:58,130.8%
119,Pentland Skyline,14/10/2012,3:37:18,147.2%
37,Dollar Hill Race,30/06/2012,1:41:05,124.0%
83,Durisdeer Hill Race,16/06/2012,2:06:57,142.6%
40,Ben Lomond Hill Race,12/05/2012,1:29:05,126.1%
120,Dumyat Hill Race,09/05/2012,0:46:02,142.2%
66,Stuc a`Chroin Hill Race,05/05/2012,3:07:08,143.3%
23,Kaim Hill Race,18/04/2012,0:37:10,119.8%
21,Screel Hill Race,14/04/2012,0:35:50,124.1%
41,Criffel Hill Race,11/03/2012,1:19:09,135.4%
36,Conic Hill Race,25/02/2012,0:31:07,125.4%
100,Ben Venue Hill Race,01/10/2011,1:40:29,140.5%
12,Merrick Hill Race,18/09/2011,1:47:21,116.7%
259,Ben Nevis Race,03/09/2011,2:28:29,166.2%
22,Menstrie (Home International Trial),28/08/2011,0:53:50,132.1%
37,Lomonds of Fife Hill Race,21/08/2011,1:52:00,127.7%
24,Caerketton Hill Race,10/08/2011,0:17:14,127.7%
30,Turnhouse Hill Race,27/07/2011,0:31:49,128.5%
19,Ben Sheann Hill Race,15/06/2011,0:35:07,128.7%
23,Cort-ma Law Hill Race,08/06/2011,1:02:46,125.8%
44,Ben Lomond Hill Race,07/05/2011,1:32:03,124.9%
49,Whangie Whizz,27/04/2011,0:35:15,129.4%
18,Conic Hill Race,26/02/2011,0:31:52,119.0%
33,Dumyat Dash,27/12/2010,1:11:07,133.1%
50,Tinto Hill Race,13/11/2010,0:40:26,126.3%
43,Run of the Mill,24/10/2010,1:33:21,129.0%
70,Pentland Skyline,10/10/2010,3:23:29,140.7%
96,Glen Rosa Horseshoe,19/06/2010,4:11:02,171.5%
33,Ben Sheann Hill Race,16/06/2010,0:37:42,135.6%
16,Durisdeer Hill Race,12/06/2010,2:06:03,142.9%
32,Gargunnock Hill Race,05/06/2010,0:42:15,134.3%
53,Kilpatricks Hill Race,02/06/2010,0:57:03,132.7%
44,Whangie Whizz,28/04/2010,0:35:35,129.8%
29,Kaim Hill Race,21/04/2010,0:38:39,131.0%
18,Criffel Hill Race,21/03/2010,1:12:55,120.7%
117,Tinto Hill Race,07/11/2009,0:43:42,138.9%
122,Pentland Skyline,11/10/2009,3:53:35,160.1%
38,Caerketton Hill Race,12/08/2009,0:17:59,137.6%
40,Ben Sheann Hill Race,17/06/2009,0:35:42,148.6%
15,Durisdeer Hill Race,13/06/2009,2:07:30,132.1%
43,Cort-ma Law Hill Race,10/06/2009,1:00:22,124.3%
26,Gargunnock Hill Race,06/06/2009,0:39:51,125.6%
38,Kilpatricks Hill Race,03/06/2009,0:56:26,130.9%
220,Stuc a`Chroin Hill Race,02/05/2009,3:24:23,163.1%
67,Whangie Whizz,22/04/2009,0:36:47,133.8%
70,Screel Hill Race,18/04/2009,0:41:16,144.7%
89,Clachnaben Hill Race,11/04/2009,2:01:30,150.0%
32,Criffel Hill Race,22/03/2009,1:16:27,139.3%
42,Kilpatricks Hill Race,04/06/2008,0:56:56,127.9%
59,Whangie Whizz,23/04/2008,0:38:23,131.9%
