Position, RaceName,Date,Time,Winner
15,Glen Rosa Horseshoe,16/06/2007,3:17:38,124.6%
18,Kilpatricks Hill Race,06/06/2007,0:55:36,114.8%
87,Isle of Jura Fell Race,26/05/2007,5:00:48,151.5%
34,Kinnoull Hill Race,16/05/2007,0:32:02,124.6%
52,Ben Lomond Hill Race,12/05/2007,1:31:22,133.2%
111,Carnethy 5 Hill Race,17/02/2007,1:04:18,134.0%
28,Aonach Mor Uphill (New Year),01/01/2007,0:30:11,125.2%
49,Tinto Hill Race,11/11/2006,0:41:21,129.7%
31,Manor Water Hill Race,14/10/2006,1:23:15,122.0%
66,Pentland Skyline,08/10/2006,3:24:56,135.9%
115,Ben Nevis Race,02/09/2006,2:07:51,142.8%
30,Maddy Moss Hill Race,19/07/2006,1:06:14,123.0%
57,Moffat Chase,15/07/2006,4:49:56,165.5%
17,Kilpatricks Hill Race,07/06/2006,0:54:40,118.8%
6,Yetholm Hill Race,04/06/2006,1:24:21,120.0%
56,Isle of Jura Fell Race,27/05/2006,4:48:47,136.4%
51,Stuc a`Chroin Hill Race,29/04/2006,3:02:50,130.1%
16,Criffel Hill Race,19/03/2006,1:15:27,120.2%
89,Carnethy 5 Hill Race,11/02/2006,1:03:05,129.2%
30,Meall a`Bhuachaille,20/11/2005,1:03:14,122.7%
36,Pentland Skyline,09/10/2005,3:14:31,133.3%
12,Manor Water Hill Race,08/10/2005,1:20:02,109.6%
18,Two Breweries Hill Race,24/09/2005,3:26:05,121.1%
13,Glen Clova Hill Race,28/08/2005,3:55:36,124.3%
16,Caerketton Hill Race,10/08/2005,0:16:26,122.9%
20,Maddy Moss Hill Race,20/07/2005,1:00:25,119.6%
21,Glamaig Hill Race,16/07/2005,1:02:53,129.0%
17,Dollar Hill Race,02/07/2005,1:41:55,125.2%
15,Kilpatricks Hill Race,01/06/2005,0:53:45,112.4%
25,Goatfell Race,14/05/2005,1:36:51,124.5%
30,Dumyat Hill Race,11/05/2005,0:41:54,118.9%
30,Ben Lomond Hill Race,07/05/2005,1:26:37,123.1%
27,Stuc a`Chroin Hill Race,30/04/2005,2:56:36,124.3%
16,Criffel Hill Race,20/03/2005,1:07:42,129.7%
119,Carnethy 5 Hill Race,12/02/2005,1:05:41,125.9%
