Position, RaceName,Date,Time,Winner
77,Run of the Mill,27/10/2013,1:35:48,135.3%
78,Pentland Skyline,13/10/2013,3:34:40,157.4%
67,Two Breweries Hill Race,28/09/2013,4:11:46,149.2%
84,Ochil 2000s,24/08/2013,4:03:32,150.7%
47,Ben Lomond Hill Race,11/05/2013,1:31:18,133.3%
114,Stuc a`Chroin Hill Race,04/05/2013,3:24:34,155.9%
18,Newtyle Hill Race,10/04/2013,0:41:12,128.3%
41,Dumyat Dash,03/11/2012,1:05:32,133.1%
30,Cort-ma Law Hill Race,06/06/2012,1:05:37,137.8%
62,Kilpatricks Hill Race,30/05/2012,1:01:37,137.9%
17,Lairig Mor,12/03/2011,1:51:39,119.6%
142,Carnethy 5 Hill Race,12/02/2011,1:09:52,138.3%
30,Greenmantle Dash,03/01/2011,0:20:39,121.7%
35,Manor Water Hill Race,09/10/2010,1:24:23,119.6%
23,Ben Venue Hill Race,02/10/2010,1:31:49,129.5%
62,Two Breweries Hill Race,25/09/2010,3:48:56,141.9%
47,Ochil 2000s,28/08/2010,3:44:08,134.5%
16,Two Inns Race,21/08/2010,3:57:29,128.6%
46,Lomonds of Fife Hill Race,15/08/2010,2:11:22,145.5%
59,Glenshee 9,08/08/2010,4:46:47,153.1%
124,Dollar Hill Race,31/07/2010,1:39:09,136.2%
21,Aonach Mor Uphill (July),23/07/2010,0:29:03,117.9%
40,Maddy Moss Hill Race,14/07/2010,1:07:49,129.7%
26,Half Nevis Race,04/07/2010,1:10:58,121.4%
27,Arrochar Alps,26/06/2010,5:25:30,155.9%
66,Glen Rosa Horseshoe,19/06/2010,3:37:37,148.6%
22,Ben Sheann Hill Race,16/06/2010,0:34:59,125.8%
72,Ben Lomond Hill Race,08/05/2010,1:31:20,138.7%
90,Stuc a`Chroin Hill Race,01/05/2010,3:20:46,148.0%
49,Two Breweries Hill Race,26/09/2009,3:51:09,138.0%
41,Maddy Moss Hill Race,15/07/2009,1:05:12,128.8%
37,Dollar Hill Race,04/07/2009,1:41:52,139.2%
46,Arrochar Alps,27/06/2009,5:09:41,147.0%
90,Isle of Jura Fell Race,23/05/2009,5:29:05,143.2%
37,Ben Lomond Hill Race,09/05/2009,1:31:18,125.7%
72,Dumyat Hill Race,06/05/2009,0:45:18,129.4%
151,Stuc a`Chroin Hill Race,02/05/2009,3:02:07,145.3%
55,Whangie Whizz,22/04/2009,0:35:56,130.7%
13,Lairig Mor,14/03/2009,1:49:45,115.0%
48,Pentland Skyline,12/10/2008,3:12:17,129.8%
127,Ben Nevis Race,06/09/2008,2:05:59,141.2%
47,Ochil 2000s,23/08/2008,3:31:37,126.2%
27,Lomonds of Fife Hill Race,17/08/2008,1:59:28,126.0%
37,Glenshee 9,10/08/2008,4:52:26,141.7%
42,Maddy Moss Hill Race,16/07/2008,1:02:33,126.5%
19,Half Nevis Race,13/07/2008,1:09:11,121.3%
20,Cort-ma Law Hill Race,11/06/2008,0:56:06,116.2%
32,Kilpatricks Hill Race,04/06/2008,0:54:35,122.6%
16,Yetholm Hill Race,01/06/2008,1:23:27,112.8%
87,Isle of Jura Fell Race,24/05/2008,4:53:12,156.1%
36,Whangie Whizz,23/04/2008,0:35:12,121.0%
130,Carnethy 5 Hill Race,16/02/2008,1:05:59,139.8%
29,Two Breweries Hill Race,22/09/2007,3:36:30,129.5%
24,Ochil 2000s,25/08/2007,4:05:30,136.0%
38,Lomonds of Fife Hill Race,19/08/2007,1:54:02,127.6%
23,Maddy Moss Hill Race,18/07/2007,1:01:25,116.6%
18,Half Nevis Race,08/07/2007,1:08:22,119.2%
27,Arrochar Alps,30/06/2007,5:07:15,143.5%
19,Cort-ma Law Hill Race,20/06/2007,0:59:56,114.6%
