Position, RaceName,Date,Time,Winner
88,Tinto Hill Race,09/11/2013,0:43:59,137.5%
47,Dumyat Dash,02/11/2013,1:06:05,135.5%
62,Hunters Bog Trot,27/04/2013,0:37:24,139.4%
49,Tinto Hill Race,10/11/2012,0:41:02,127.9%
24,Cort-ma Law Hill Race,06/06/2012,1:02:56,132.2%
21,Greenmantle Dash,02/01/2012,0:20:47,129.5%
44,Maddy Moss Hill Race,19/07/2006,1:09:00,128.1%
43,Whangie Whizz,26/04/2006,0:34:39,123.2%
27,Cathkin Braes Hill Race,19/04/2006,0:44:07,126.3%
16,Cort-ma Law Hill Race,22/06/2005,0:58:53,115.2%
