Position, RaceName,Date,Time,Winner
20,Gypsy Glen Hill Race,15/05/2013,0:40:30,123.9%
22,Whangie Whizz,27/04/2011,0:31:23,115.2%
14,Cort-ma Law Hill Race,09/06/2010,0:56:17,114.5%
35,Dumyat Hill Race,05/05/2010,0:42:08,124.7%
14,Whangie Whizz,28/04/2010,0:31:48,116.0%
30,Maddy Moss Hill Race,15/07/2009,1:02:57,124.3%
17,Cort-ma Law Hill Race,10/06/2009,0:54:40,112.5%
25,Kilpatricks Hill Race,03/06/2009,0:52:58,122.8%
31,Ben Lomond Hill Race,09/05/2009,1:29:25,123.1%
35,Dumyat Hill Race,06/05/2009,0:41:41,119.1%
19,Kaim Hill Race,29/04/2009,0:37:49,130.1%
35,Dumyat Hill Race,09/05/2007,0:40:09,122.2%
61,Stuc a`Chroin Hill Race,05/05/2007,2:47:45,124.8%
18,Whangie Whizz,25/04/2007,0:32:24,114.8%
74,Carnethy 5 Hill Race,17/02/2007,1:02:01,129.2%
19,Tinto Hill Race,11/11/2006,0:37:43,118.3%
25,Stuc a`Chroin Hill Race,29/04/2006,2:48:55,120.2%
22,Whangie Whizz,26/04/2006,0:32:20,115.0%
20,Cathkin Braes Hill Race,19/04/2006,0:42:01,120.3%
130,Carnethy 5 Hill Race,11/02/2006,1:06:43,136.6%
49,Meall a`Bhuachaille,20/11/2005,1:07:46,131.5%
12,Goatfell Race,14/05/2005,1:30:18,116.1%
20,Ben Lomond Hill Race,07/05/2005,1:21:01,115.1%
31,Stuc a`Chroin Hill Race,30/04/2005,2:59:28,126.3%
13,Whangie Whizz,27/04/2005,0:32:08,116.3%
