Position, RaceName,Date,Time,Winner
61,Kilpatricks Hill Race,29/05/2013,1:00:18,129.3%
51,Beinn Dubh  Luss,24/04/2013,0:49:59,132.8%
25,Cort-ma Law Hill Race,06/06/2012,1:03:34,133.5%
55,Kilpatricks Hill Race,30/05/2012,1:00:39,135.7%
45,Kilpatricks Hill Race,01/06/2011,1:00:46,132.2%
122,Birnam Hill Race,26/03/2011,0:40:57,142.6%
34,Cort-ma Law Hill Race,09/06/2010,1:00:29,123.0%
45,Kilpatricks Hill Race,02/06/2010,0:55:52,130.0%
79,Stuc a`Chroin Hill Race,01/05/2010,3:15:31,144.1%
89,Chapelgill Hill Race,20/03/2010,0:28:24,147.7%
39,Arrochar Alps,27/06/2009,5:01:40,143.2%
30,Cort-ma Law Hill Race,10/06/2009,0:57:30,118.4%
72,Whangie Whizz,22/04/2009,0:37:42,137.1%
153,Durisdeer Hill Race,14/06/2008,2:01:30,148.4%
45,Kilpatricks Hill Race,04/06/2008,0:57:16,128.6%
108,Dumyat Hill Race,07/05/2008,0:47:27,139.0%
73,Bishop Hill Race,02/03/2008,0:24:16,138.8%
194,Carnethy 5 Hill Race,16/02/2008,1:10:42,149.8%
56,Tinto Hill Race,10/11/2007,0:39:31,130.3%
42,Pentland Skyline,06/10/2007,3:24:17,134.7%
45,Morven Hill Race,22/09/2007,0:58:35,129.0%
36,Merrick Hill Race,15/09/2007,1:50:09,131.1%
36,Red Moss Revolution,15/08/2007,0:43:22,122.3%
21,Caerketton Hill Race,08/08/2007,0:16:12,119.3%
20,Turnhouse Hill Race,25/07/2007,0:34:03,121.8%
29,Maddy Moss Hill Race,18/07/2007,1:02:55,119.4%
16,Cort-ma Law Hill Race,20/06/2007,0:58:14,111.4%
15,Kilpatricks Hill Race,06/06/2007,0:55:05,113.8%
48,Whangie Whizz,25/04/2007,0:36:09,128.1%
