Position, RaceName,Date,Time,Winner
28,Arrochar Alps,30/06/2007,5:07:38,143.6%
29,Kilpatricks Hill Race,06/06/2007,0:57:55,119.6%
108,Isle of Jura Fell Race,26/05/2007,5:19:58,161.2%
94,Stuc a`Chroin Hill Race,05/05/2007,3:04:22,137.2%
65,Glen Rosa Horseshoe,10/06/2006,3:51:19,155.7%
23,Kaim Hill Race,03/05/2006,0:37:47,123.3%
69,Stuc a`Chroin Hill Race,29/04/2006,3:17:33,140.6%
37,Cathkin Braes Hill Race,19/04/2006,0:46:56,134.4%
58,Pentland Skyline,09/10/2005,3:25:57,141.2%
18,Glen Clova Hill Race,28/08/2005,4:12:40,133.3%
35,Maddy Moss Hill Race,20/07/2005,1:05:24,129.5%
17,Cort-ma Law Hill Race,22/06/2005,1:01:00,119.4%
7,Glen Rosa Horseshoe,11/06/2005,3:20:40,126.4%
46,Stuc a`Chroin Hill Race,30/04/2005,3:15:12,137.4%
38,Whangie Whizz,27/04/2005,0:35:38,129.0%
