Position, RaceName,Date,Time,Winner
68,Tinto Hill Race,09/11/2013,0:42:42,133.5%
62,Run of the Mill,27/10/2013,1:32:35,130.8%
71,Pentland Skyline,13/10/2013,3:28:22,152.8%
70,Two Breweries Hill Race,28/09/2013,4:12:51,149.8%
171,Ben Nevis Race,07/09/2013,2:16:56,152.0%
36,Lomonds of Fife Hill Race,18/08/2013,1:45:36,124.4%
30,Creag Dhubh Hill Race,03/08/2013,0:38:12,129.2%
57,Cairn Table Hill Race,24/07/2013,0:46:22,147.8%
36,Dollar Hill Race,06/07/2013,1:43:06,124.1%
76,Dumyat Hill Race,08/05/2013,0:45:23,128.1%
30,Kaim Hill Race,17/04/2013,0:38:45,126.6%
42,Tinto Hill Race,10/11/2012,0:40:42,126.9%
95,Pentland Skyline,14/10/2012,3:29:34,142.0%
26,Manor Water Hill Race,13/10/2012,1:30:41,128.5%
43,Two Breweries Hill Race,22/09/2012,3:36:35,126.0%
111,Ben Nevis Race,01/09/2012,2:07:35,141.9%
26,Ben Rinnes Hill Race,28/07/2012,2:38:26,132.7%
85,Glamaig Hill Race,14/07/2012,1:10:45,159.2%
35,Maddy Moss Hill Race,11/07/2012,1:09:26,127.6%
142,Carnethy 5 Hill Race,11/02/2012,1:08:01,142.0%
75,Ben Nevis Race,03/09/2011,2:00:13,134.5%
22,Lomonds of Fife Hill Race,21/08/2011,1:45:31,120.3%
19,Two Inns Race,13/08/2011,3:30:00,127.3%
13,Glenshee 9,07/08/2011,4:31:44,128.1%
30,Creag Dhubh Hill Race,06/08/2011,0:36:30,121.3%
28,Turnhouse Hill Race,27/07/2011,0:31:16,126.2%
31,Maddy Moss Hill Race,13/07/2011,1:03:00,124.7%
14,Dollar Hill Race,02/07/2011,1:36:40,117.9%
17,The Law Breaker,29/06/2011,0:44:33,120.7%
31,Red Moss Revolution,22/06/2011,0:42:04,123.1%
11,Ben Sheann Hill Race,15/06/2011,0:32:18,118.4%
16,Cort-ma Law Hill Race,08/06/2011,0:58:33,117.4%
22,Kilpatricks Hill Race,01/06/2011,0:54:07,117.7%
69,Dumyat Hill Race,04/05/2011,0:43:25,131.2%
20,Kaim Hill Race,20/04/2011,0:37:42,117.8%
63,Birnam Hill Race,26/03/2011,0:37:07,129.3%
50,Pentland Skyline,10/10/2010,3:14:59,134.9%
25,Manor Water Hill Race,09/10/2010,1:21:05,115.0%
3,Newtyle Hill Race,26/09/2010,0:34:05,101.8%
6,Merrick Hill Race,19/09/2010,1:45:08,113.6%
60,Ben Nevis Race,04/09/2010,1:59:06,124.5%
10,Two Inns Race,21/08/2010,3:25:53,111.4%
35,Lomonds of Fife Hill Race,15/08/2010,2:05:03,138.5%
21,Caerketton Hill Race,11/08/2010,0:16:08,122.8%
30,Turnhouse Hill Race,28/07/2010,0:31:35,126.5%
34,Maddy Moss Hill Race,14/07/2010,1:05:23,125.1%
45,Red Moss Revolution,23/06/2010,0:43:56,123.6%
19,Ben Sheann Hill Race,16/06/2010,0:33:28,120.4%
22,Cort-ma Law Hill Race,09/06/2010,0:57:58,117.9%
34,Kilpatricks Hill Race,02/06/2010,0:53:39,124.8%
40,Dumyat Hill Race,05/05/2010,0:42:34,126.0%
29,Whangie Whizz,28/04/2010,0:33:31,122.2%
13,Kaim Hill Race,21/04/2010,0:35:41,121.0%
28,Pentland Skyline,11/10/2009,3:02:55,125.3%
72,Ben Nevis Race,05/09/2009,1:58:15,127.8%
20,Glenshee 9,09/08/2009,4:29:55,134.8%
22,Creag Dhubh Hill Race,01/08/2009,0:36:07,125.8%
23,Glamaig Hill Race,18/07/2009,1:05:27,132.4%
37,Maddy Moss Hill Race,15/07/2009,1:03:50,126.1%
7,Glen Rosa Horseshoe,20/06/2009,3:05:55,120.1%
15,Ben Sheann Hill Race,17/06/2009,0:31:11,129.8%
28,Kilpatricks Hill Race,03/06/2009,0:53:19,123.7%
44,Whangie Whizz,22/04/2009,0:34:53,126.8%
97,Carnethy 5 Hill Race,14/02/2009,1:07:14,126.8%
22,The Law Breaker,28/12/2008,0:43:04,131.1%
55,Tinto Hill Race,08/11/2008,0:40:38,125.8%
54,Pentland Skyline,12/10/2008,3:15:14,131.8%
78,Ben Nevis Race,06/09/2008,1:57:12,131.4%
42,Ochil 2000s,23/08/2008,3:27:26,123.7%
18,Ben Rinnes Hill Race,26/07/2008,2:33:37,120.0%
18,Arrochar Alps,28/06/2008,4:09:23,120.3%
20,Red Moss Revolution,25/06/2008,0:42:00,118.6%
17,Cort-ma Law Hill Race,11/06/2008,0:55:35,115.2%
27,Kilpatricks Hill Race,04/06/2008,0:53:31,120.2%
47,Isle of Jura Fell Race,24/05/2008,4:18:09,137.4%
16,Goatfell Race,17/05/2008,1:35:05,120.9%
48,Dumyat Hill Race,07/05/2008,0:42:42,125.1%
25,Stuc a`Chroin Hill Race,03/05/2008,2:48:00,124.0%
30,Whangie Whizz,23/04/2008,0:34:42,119.2%
109,Carnethy 5 Hill Race,16/02/2008,1:04:16,136.2%
57,Tinto Hill Race,10/11/2007,0:39:35,130.6%
40,Two Breweries Hill Race,22/09/2007,3:56:30,141.5%
120,Ben Nevis Race,01/09/2007,2:03:19,132.7%
27,Caerketton Hill Race,08/08/2007,0:16:50,123.9%
35,Maddy Moss Hill Race,18/07/2007,1:04:20,122.1%
55,Glen Clova Hill Race,14/07/2007,3:34:13,134.6%
24,Cort-ma Law Hill Race,20/06/2007,1:00:53,116.4%
8,Cairn Table Hill Race,16/06/2007,0:39:17,115.9%
170,Carnethy 5 Hill Race,17/02/2007,1:08:10,142.1%
61,Tinto Hill Race,11/11/2006,0:42:19,132.7%
29,Two Breweries Hill Race,23/09/2006,3:55:12,136.3%
142,Ben Nevis Race,02/09/2006,2:12:21,147.8%
35,Lomonds of Fife Hill Race,20/08/2006,2:08:16,133.4%
31,Caerketton Hill Race,09/08/2006,0:17:56,136.7%
45,Maddy Moss Hill Race,19/07/2006,1:09:40,129.3%
20,Cort-ma Law Hill Race,21/06/2006,1:02:35,122.1%
61,Dumyat Hill Race,10/05/2006,0:44:57,131.2%
32,Cathkin Braes Hill Race,19/04/2006,0:45:30,130.3%
192,Carnethy 5 Hill Race,11/02/2006,1:11:03,145.5%
70,Two Breweries Hill Race,24/09/2005,4:41:11,165.2%
63,Maddy Moss Hill Race,20/07/2005,1:12:03,142.7%
29,Cort-ma Law Hill Race,22/06/2005,1:06:26,130.0%
29,Kilpatricks Hill Race,01/06/2005,1:00:37,126.7%
53,Kinnoull Hill Race,18/05/2005,0:34:58,136.9%
84,Ben Lomond Hill Race,07/05/2005,1:41:27,144.1%
