Position, RaceName,Date,Time,Winner
30,Dumyat Dash,02/11/2013,1:00:50,124.7%
55,Run of the Mill,27/10/2013,1:30:45,128.2%
28,Ben Venue Hill Race,05/10/2013,1:38:46,136.3%
61,Ochil 2000s,24/08/2013,3:41:28,137.1%
47,Tap o`Noth Hill Race,17/08/2013,0:43:05,128.9%
27,Cairn Table Hill Race,24/07/2013,0:39:09,124.8%
28,The Law Breaker,26/06/2013,0:48:17,125.6%
54,Red Moss Revolution,19/06/2013,0:45:12,127.4%
26,Ben Sheann Hill Race,12/06/2013,0:35:16,132.5%
37,Kilpatricks Hill Race,29/05/2013,0:56:51,121.9%
81,Goatfell Race,18/05/2013,1:46:16,139.9%
101,Dumyat Hill Race,08/05/2013,0:47:08,133.1%
53,Beinn Dubh  Luss,24/04/2013,0:50:17,133.6%
42,Kaim Hill Race,17/04/2013,0:42:02,137.4%
15,Tom na Bat Hill Race,21/07/2012,0:38:19,128.1%
37,Kilpatricks Hill Race,30/05/2012,0:56:56,127.4%
29,Kaim Hill Race,18/04/2012,0:38:12,123.1%
22,Ben Sheann Hill Race,17/06/2009,0:32:35,135.7%
34,Cort-ma Law Hill Race,10/06/2009,0:58:20,120.1%
22,Gargunnock Hill Race,06/06/2009,0:38:24,121.1%
36,Kilpatricks Hill Race,03/06/2009,0:55:55,129.7%
44,Ben Lomond Hill Race,09/05/2009,1:33:52,129.2%
25,Kaim Hill Race,29/04/2009,0:40:09,138.1%
61,Whangie Whizz,22/04/2009,0:36:15,131.8%
56,Ochil 2000s,23/08/2008,3:34:15,127.7%
30,Lomonds of Fife Hill Race,17/08/2008,2:03:00,129.7%
24,Creag Dhubh Hill Race,02/08/2008,0:37:48,127.6%
24,Turnhouse Hill Race,23/07/2008,0:31:58,125.0%
133,Durisdeer Hill Race,14/06/2008,1:56:31,142.3%
36,Kilpatricks Hill Race,04/06/2008,0:55:27,124.6%
19,Yetholm Hill Race,01/06/2008,1:24:06,113.7%
45,Kinnoull Hill Race,21/05/2008,0:31:27,125.0%
41,Ben Lomond Hill Race,10/05/2008,1:29:16,123.4%
68,Dumyat Hill Race,07/05/2008,0:44:52,131.4%
41,Whangie Whizz,23/04/2008,0:36:04,123.9%
74,Tinto Hill Race,10/11/2007,0:40:42,134.2%
48,Red Moss Revolution,15/08/2007,0:45:27,128.2%
24,Turnhouse Hill Race,25/07/2007,0:34:36,123.8%
20,Cort-ma Law Hill Race,20/06/2007,1:00:11,115.1%
26,Kilpatricks Hill Race,06/06/2007,0:57:35,118.9%
40,Kinnoull Hill Race,16/05/2007,0:32:14,125.3%
46,Ben Lomond Hill Race,12/05/2007,1:29:57,131.1%
83,Dumyat Hill Race,09/05/2007,0:44:17,134.7%
169,Carnethy 5 Hill Race,17/02/2007,1:08:09,142.0%
74,Tinto Hill Race,11/11/2006,0:43:17,135.8%
27,Cort-ma Law Hill Race,21/06/2006,1:06:35,129.9%
24,Kilpatricks Hill Race,07/06/2006,0:58:05,126.2%
36,Whangie Whizz,27/04/2005,0:35:31,128.5%
