Position, RaceName,Date,Time,Winner
33,Ochil 2000s,27/08/2011,3:38:47,130.8%
5,Callander Games Hill Race,31/07/2011,1:11:15,119.8%
25,Maddy Moss Hill Race,13/07/2011,1:01:30,121.7%
13,Cort-ma Law Hill Race,08/06/2011,0:57:46,115.8%
16,Kilpatricks Hill Race,01/06/2011,0:52:44,114.7%
62,Dumyat Hill Race,04/05/2011,0:43:00,129.9%
48,Stuc a`Chroin Hill Race,30/04/2011,2:59:57,130.5%
29,Whangie Whizz,27/04/2011,0:32:22,118.8%
19,Kaim Hill Race,20/04/2011,0:37:28,117.0%
33,Maddy Moss Hill Race,14/07/2010,1:05:16,124.8%
26,Cort-ma Law Hill Race,09/06/2010,0:58:39,119.3%
33,Kilpatricks Hill Race,02/06/2010,0:53:27,124.4%
57,Dumyat Hill Race,05/05/2010,0:43:58,130.1%
28,Whangie Whizz,28/04/2010,0:33:27,122.0%
31,Cort-ma Law Hill Race,10/06/2009,0:57:31,118.4%
30,Kilpatricks Hill Race,03/06/2009,0:54:14,125.8%
23,Kaim Hill Race,29/04/2009,0:39:35,136.2%
50,Whangie Whizz,22/04/2009,0:35:39,129.6%
39,Dollar Hill Race,05/07/2008,1:36:00,129.8%
46,Ben Lomond Hill Race,10/05/2008,1:30:20,124.9%
13,Kaim Hill Race,30/04/2008,0:36:04,114.4%
26,Whangie Whizz,23/04/2008,0:34:21,118.0%
