Position, RaceName,Date,Time,Winner
19,Pentland Skyline,13/10/2013,2:55:51,128.9%
24,Two Breweries Hill Race,28/09/2013,3:35:27,127.6%
16,Devils Beeftub Race,07/09/2013,0:27:49,124.1%
42,Ochil 2000s,24/08/2013,3:29:15,129.5%
20,Two Inns Race,10/08/2013,3:32:12,128.7%
22,Kilpatricks Hill Race,29/05/2013,0:52:50,113.3%
37,Dumyat Hill Race,08/05/2013,0:41:22,116.8%
32,Stuc a`Chroin Hill Race,04/05/2013,2:46:06,126.6%
25,Beinn Dubh  Luss,24/04/2013,0:44:16,117.6%
14,Kaim Hill Race,17/04/2013,0:35:47,116.9%
164,Carnethy 5 Hill Race,16/02/2013,1:07:19,135.3%
33,Run of the Mill,21/10/2012,1:31:32,125.6%
59,Isle of Jura Fell Race,26/05/2012,4:43:07,143.2%
21,Deuchary Hill Canter,25/03/2012,1:41:46,121.2%
61,Carnethy 5 Hill Race,11/02/2012,1:01:23,128.2%
8,Greenmantle Dash,02/01/2012,0:19:10,119.4%
34,Two Breweries Hill Race,24/09/2011,3:37:43,123.7%
64,Ben Nevis Race,03/09/2011,1:57:43,131.7%
16,Ochil 2000s,27/08/2011,3:13:19,115.6%
11,Two Inns Race,13/08/2011,3:19:51,121.1%
20,Caerketton Hill Race,10/08/2011,0:16:28,122.0%
10,Glenshee 9,07/08/2011,4:10:22,118.0%
16,Turnhouse Hill Race,27/07/2011,0:29:52,120.6%
15,Maddy Moss Hill Race,13/07/2011,0:59:14,117.3%
8,Carnethy Midweek Hill Race,06/07/2011,0:30:18,120.6%
41,Lairig Ghru,26/06/2011,4:07:18,125.6%
15,Arrochar Alps,25/06/2011,5:07:42,149.5%
26,Red Moss Revolution,22/06/2011,0:41:25,121.2%
7,Glen Rosa Horseshoe,18/06/2011,2:55:51,114.7%
14,Loch Lochy Munros,04/06/2011,2:41:05,120.9%
21,Kilpatricks Hill Race,01/06/2011,0:53:13,115.8%
69,Inter Counties - Broughton Heights,28/05/2011,1:00:36,127.4%
31,Dumyat Hill Race,04/05/2011,0:40:12,121.5%
26,Stuc a`Chroin Hill Race,30/04/2011,2:47:50,121.7%
30,Whangie Whizz,27/04/2011,0:32:22,118.8%
15,Normans Law,23/04/2011,0:33:27,108.4%
10,Deuchary Hill Canter,27/03/2011,1:38:20,109.8%
41,Birnam Hill Race,26/03/2011,0:34:59,121.8%
5,Lairig Mor,12/03/2011,1:41:02,108.3%
54,Carnethy 5 Hill Race,12/02/2011,1:01:42,122.1%
7,Greenmantle Dash,03/01/2011,0:18:00,106.1%
138,Two Breweries Hill Race,25/09/2010,5:31:00,205.1%
6,Gypsy Glen Hill Race,19/05/2010,0:34:53,103.9%
22,Stuc a`Chroin Hill Race,01/05/2010,2:45:04,121.7%
35,Carnethy 5 Hill Race,13/02/2010,0:58:46,120.7%
26,Tinto Hill Race,07/11/2009,0:37:13,118.3%
69,Ben Nevis Race,05/09/2009,1:57:31,127.0%
74,Carnethy 5 Hill Race,14/02/2009,1:05:33,123.6%
73,Ben Nevis Race,06/09/2008,1:56:56,131.1%
13,Maddy Moss Hill Race,16/07/2008,0:57:39,116.6%
9,Deuchary Hill Canter,09/03/2008,1:49:25,113.9%
106,Carnethy 5 Hill Race,16/02/2008,1:03:59,135.6%
76,Carnethy 5 Hill Race,17/02/2007,1:02:05,129.4%
22,Manor Water Hill Race,14/10/2006,1:21:14,119.1%
113,Carnethy 5 Hill Race,11/02/2006,1:04:59,133.1%
