Position, RaceName,Date,Time,Winner
18,Tinto Hill Race,09/11/2013,0:37:40,117.8%
37,Run of the Mill,27/10/2013,1:25:15,120.4%
31,Pentland Skyline,13/10/2013,3:03:41,134.7%
31,Two Breweries Hill Race,28/09/2013,3:40:27,130.6%
3,Merrick Hill Race,15/09/2013,1:09:21,102.6%
49,Ben Nevis Race,07/09/2013,1:57:48,130.7%
31,Ochil 2000s,24/08/2013,3:21:53,125.0%
6,Cairn Table Hill Race,24/07/2013,0:33:16,106.1%
5,Taynuilt Games Hill Race,20/07/2013,1:03:29,112.6%
7,Half Nevis Race,14/07/2013,1:02:02,118.2%
5,Meall an t-Suidhe,13/07/2013,0:33:55,120.4%
6,Maddy Moss Hill Race,10/07/2013,0:57:11,110.9%
5,Dollar Hill Race,06/07/2013,1:27:46,105.7%
11,Turnhouse Hill Race,03/07/2013,0:27:28,106.0%
6,The Law Breaker,26/06/2013,0:40:34,105.6%
8,Red Moss Revolution,19/06/2013,0:37:30,105.7%
6,Ben Sheann Hill Race,12/06/2013,0:29:29,110.8%
2,Gargunnock Hill Race,01/06/2013,0:33:46,108.5%
5,Ben Ledi Hill Race,01/06/2013,0:59:44,109.7%
5,Kilpatricks Hill Race,29/05/2013,0:48:45,104.5%
17,Goatfell Race,18/05/2013,1:29:37,118.0%
14,Ben Lomond Hill Race,11/05/2013,1:20:01,116.8%
8,Dumyat Hill Race,08/05/2013,0:37:35,106.1%
36,Stuc a`Chroin Hill Race,04/05/2013,2:48:06,128.1%
15,Hunters Bog Trot,27/04/2013,0:31:03,115.7%
3,Beinn Dubh  Luss,24/04/2013,0:38:38,102.7%
6,Kaim Hill Race,17/04/2013,0:32:56,107.6%
129,Carnethy 5 Hill Race,16/02/2013,1:05:13,131.0%
20,Tinto Hill Race,10/11/2012,0:37:49,117.9%
9,Dumyat Dash,03/11/2012,0:54:21,110.4%
14,Run of the Mill,21/10/2012,1:23:28,114.6%
63,Pentland Skyline,14/10/2012,3:18:50,134.7%
