Position, RaceName,Date,Time,Winner
26,Baddinsgill Round,25/08/2013,2:20:41,142.4%
56,Ochil 2000s,24/08/2013,3:38:25,135.2%
46,Lomonds of Fife Hill Race,18/08/2013,1:51:42,131.6%
41,Two Inns Race,10/08/2013,4:47:33,174.4%
24,Dollar Hill Race,06/07/2013,1:39:31,119.8%
27,The Law Breaker,26/06/2013,0:48:16,125.6%
44,Kilpatricks Hill Race,29/05/2013,0:57:53,124.1%
110,Goatfell Race,18/05/2013,1:54:49,151.2%
167,Stuc a`Chroin Hill Race,04/05/2013,3:58:13,181.6%
49,Beinn Dubh  Luss,24/04/2013,0:49:54,132.6%
26,Beinn Lora Hill Race,21/04/2013,0:35:47,146.3%
21,Largo Law Hill Race,04/08/2012,0:59:36,117.9%
34,Kilpatricks Hill Race,30/05/2012,0:56:12,125.8%
35,Cort-ma Law Hill Race,08/06/2011,1:06:22,133.0%
34,Whangie Whizz,27/04/2011,0:33:17,122.1%
14,Kaim Hill Race,20/04/2011,0:35:52,112.0%
79,Birnam Hill Race,26/03/2011,0:38:14,133.1%
25,Run of the Mill,24/10/2010,1:27:56,121.5%
18,Manor Water Hill Race,09/10/2010,1:18:08,110.8%
27,Two Breweries Hill Race,25/09/2010,3:27:55,128.9%
20,Devils Beeftub Race,11/09/2010,0:31:59,146.5%
25,Braemar Gathering Hill Race,04/09/2010,0:32:32,125.9%
50,Ochil 2000s,28/08/2010,3:46:20,135.9%
38,Lomonds of Fife Hill Race,15/08/2010,2:06:09,139.7%
36,Glenshee 9,08/08/2010,4:19:32,138.5%
115,Dollar Hill Race,31/07/2010,1:37:08,133.4%
22,Turnhouse Hill Race,28/07/2010,0:30:16,121.2%
49,Tom na Bat Hill Race,17/07/2010,0:35:27,125.6%
21,Maddy Moss Hill Race,14/07/2010,1:01:46,118.1%
32,Red Moss Revolution,23/06/2010,0:42:06,118.5%
107,Glen Rosa Horseshoe,19/06/2010,4:31:27,185.4%
26,Ben Sheann Hill Race,16/06/2010,0:35:44,128.5%
27,Cort-ma Law Hill Race,09/06/2010,0:59:14,120.5%
17,Loch Lochy Munros,05/06/2010,3:01:13,143.3%
21,Kilpatricks Hill Race,02/06/2010,0:52:14,121.5%
83,Ben Lomond Hill Race,08/05/2010,1:32:40,140.7%
69,Stuc a`Chroin Hill Race,01/05/2010,3:12:07,141.6%
32,Whangie Whizz,28/04/2010,0:34:12,124.7%
16,Kaim Hill Race,21/04/2010,0:36:06,122.4%
43,Meall a`Bhuachaille,31/10/2009,1:03:17,124.4%
36,Pentland Skyline,11/10/2009,3:05:30,127.1%
29,Ben Venue Hill Race,03/10/2009,1:03:51,124.5%
31,Two Breweries Hill Race,26/09/2009,3:37:18,129.7%
9,Merrick Hill Race,20/09/2009,1:53:18,111.8%
30,Ochil 2000s,29/08/2009,3:34:06,127.2%
21,Caerketton Hill Race,12/08/2009,0:16:51,129.0%
34,Glenshee 9,09/08/2009,4:47:38,143.6%
24,Turnhouse Hill Race,22/07/2009,0:30:45,121.0%
19,Maddy Moss Hill Race,15/07/2009,1:00:13,118.9%
26,Meall an t-Suidhe,11/07/2009,0:39:58,135.4%
9,Glen Rosa Horseshoe,20/06/2009,3:16:05,126.7%
18,Ben Sheann Hill Race,17/06/2009,0:31:54,132.8%
14,Cort-ma Law Hill Race,10/06/2009,0:53:57,111.0%
15,Kilpatricks Hill Race,03/06/2009,0:51:32,119.5%
15,Goatfell Race,16/05/2009,1:34:42,122.2%
25,Ben Lomond Hill Race,09/05/2009,1:27:20,120.2%
159,Stuc a`Chroin Hill Race,02/05/2009,3:06:09,148.5%
24,Kaim Hill Race,29/04/2009,0:39:40,136.5%
36,Whangie Whizz,22/04/2009,0:34:01,123.7%
42,Screel Hill Race,18/04/2009,0:37:39,132.0%
