Position, RaceName,Date,Time,Winner
81,Run of the Mill,27/10/2013,1:36:24,136.2%
62,Ochil 2000s,24/08/2013,3:44:14,138.8%
103,Goatfell Race,18/05/2013,1:51:44,147.1%
171,Carnethy 5 Hill Race,16/02/2013,1:07:44,136.1%
42,Run of the Mill,21/10/2012,1:35:40,131.3%
58,Whangie Whizz,27/04/2011,0:36:08,132.6%
21,Beinn Ratha Hill Race,23/04/2011,1:00:45,119.3%
24,Kaim Hill Race,20/04/2011,0:39:01,121.9%
154,Carnethy 5 Hill Race,12/02/2011,1:10:47,140.1%
29,Run of the Mill,24/10/2010,1:29:21,123.5%
49,Pentland Skyline,10/10/2010,3:14:15,134.4%
40,Ben Venue Hill Race,02/10/2010,1:40:13,141.3%
28,Two Breweries Hill Race,25/09/2010,3:28:47,129.4%
141,Ben Nevis Race,04/09/2010,2:11:12,137.2%
31,Ochil 2000s,28/08/2010,3:33:24,128.1%
39,Lomonds of Fife Hill Race,15/08/2010,2:06:18,139.9%
45,Caerketton Hill Race,11/08/2010,0:18:05,137.7%
45,Glenshee 9,08/08/2010,4:34:06,146.3%
147,Carnethy 5 Hill Race,13/02/2010,1:08:16,140.2%
88,Pentland Skyline,11/10/2009,3:34:51,147.2%
42,Ben Venue Hill Race,03/10/2009,1:10:49,138.1%
59,Two Breweries Hill Race,26/09/2009,3:58:20,142.3%
34,Lomonds of Fife Hill Race,16/08/2009,2:07:40,126.6%
28,Glenshee 9,09/08/2009,4:40:08,139.9%
37,Creag Dhubh Hill Race,01/08/2009,0:38:37,134.6%
34,Ben Rinnes Hill Race,25/07/2009,2:35:27,133.0%
52,Turnhouse Hill Race,22/07/2009,0:33:54,133.4%
50,Maddy Moss Hill Race,15/07/2009,1:06:53,132.1%
41,Dollar Hill Race,04/07/2009,1:42:49,140.5%
72,Arrochar Alps,27/06/2009,6:21:02,180.8%
44,Red Moss Revolution,24/06/2009,0:46:30,132.7%
13,Glen Rosa Horseshoe,20/06/2009,3:26:24,133.3%
28,Ben Sheann Hill Race,17/06/2009,0:34:07,142.1%
34,Loch Lochy Munros,13/06/2009,2:55:50,138.9%
56,Cort-ma Law Hill Race,10/06/2009,1:04:02,131.8%
22,Slioch Horseshoe,30/05/2009,2:56:09,135.1%
35,Goatfell Race,16/05/2009,1:44:42,135.2%
94,Dumyat Hill Race,06/05/2009,0:47:42,136.3%
120,Two Breweries Hill Race,27/09/2008,4:17:54,153.5%
225,Ben Nevis Race,06/09/2008,2:17:38,154.3%
43,Isle of Mull Fell Race,19/07/2008,2:27:30,139.1%
58,Maddy Moss Hill Race,16/07/2008,1:04:45,130.9%
24,Arrochar Alps,28/06/2008,5:04:57,147.1%
37,Red Moss Revolution,25/06/2008,0:45:20,128.0%
33,Ben Sheann Hill Race,18/06/2008,0:34:10,133.6%
36,Cort-ma Law Hill Race,11/06/2008,1:02:24,129.3%
72,Isle of Jura Fell Race,24/05/2008,4:42:25,150.4%
40,Ben Lomond Hill Race,10/05/2008,1:29:10,123.3%
57,Dumyat Hill Race,07/05/2008,0:43:38,127.8%
17,Kaim Hill Race,30/04/2008,0:37:19,118.4%
33,Whangie Whizz,23/04/2008,0:35:00,120.3%
150,Carnethy 5 Hill Race,16/02/2008,1:07:11,142.4%
25,Greenmantle Dash,02/01/2008,0:21:13,118.8%
38,Manor Water Hill Race,13/10/2007,1:26:17,125.4%
29,Pentland Skyline,06/10/2007,3:11:53,126.5%
31,Two Breweries Hill Race,22/09/2007,3:39:21,131.2%
22,Ochil 2000s,25/08/2007,4:00:44,133.4%
58,Lomonds of Fife Hill Race,19/08/2007,2:04:45,139.6%
57,Red Moss Revolution,15/08/2007,0:47:29,133.9%
36,Kilpatricks Hill Race,06/06/2007,0:59:51,123.6%
101,Isle of Jura Fell Race,26/05/2007,5:10:51,156.6%
72,Ben Lomond Hill Race,12/05/2007,1:39:05,144.4%
116,Stuc a`Chroin Hill Race,05/05/2007,3:12:54,143.5%
