Position, RaceName,Date,Time,Winner
15,Dumyat Dash,02/11/2013,0:55:14,113.3%
3,Caerketton Downhill,11/09/2013,0:05:23,105.6%
3,Nebit Downfall,04/09/2013,0:05:04,106.3%
8,Bishop Downhill,28/08/2013,0:04:53,106.2%
4,Caerketton Downhill,12/09/2012,0:05:27,101.6%
11,Kilpatricks Hill Race,30/05/2012,0:50:04,112.0%
18,Hunters Bog Trot,21/04/2012,0:32:09,110.7%
7,Kaim Hill Race,18/04/2012,0:33:50,109.0%
145,Ben Nevis Race,03/09/2011,2:12:06,147.8%
19,Turnhouse Hill Race,27/07/2011,0:30:17,122.3%
17,Ben Sheann Hill Race,15/06/2011,0:33:26,122.5%
3,Gargunnock Hill Race,04/06/2011,0:34:45,111.6%
10,Kilpatricks Hill Race,01/06/2011,0:51:51,112.8%
25,Ben Lomond Hill Race,07/05/2011,1:26:27,117.3%
19,Hunters Bog Trot,16/04/2011,0:34:25,118.7%
113,Carnethy 5 Hill Race,12/02/2011,1:07:31,133.7%
82,Two Breweries Hill Race,25/09/2010,4:08:31,154.0%
139,Ben Nevis Race,04/09/2010,2:11:10,137.1%
78,Lomonds of Fife Hill Race,15/08/2010,2:28:16,164.2%
25,Maddy Moss Hill Race,14/07/2010,1:02:42,119.9%
21,Ben Sheann Hill Race,16/06/2010,0:34:54,125.5%
15,Gargunnock Hill Race,05/06/2010,0:36:22,115.6%
32,Kilpatricks Hill Race,02/06/2010,0:53:25,124.3%
26,Kinnoull Hill Race,19/05/2010,0:30:23,122.2%
93,Ben Lomond Hill Race,08/05/2010,1:34:37,143.7%
51,Dumyat Hill Race,05/05/2010,0:43:23,128.4%
30,Whangie Whizz,28/04/2010,0:33:54,123.6%
154,Carnethy 5 Hill Race,13/02/2010,1:08:33,140.8%
29,Greenmantle Dash,02/01/2010,0:23:32,122.9%
30,The Law Breaker,27/12/2009,0:42:31,131.6%
45,Turnhouse Hill Race,22/07/2009,0:33:15,130.8%
75,Maddy Moss Hill Race,15/07/2009,1:11:55,142.0%
41,Cort-ma Law Hill Race,10/06/2009,1:00:05,123.7%
18,Gargunnock Hill Race,06/06/2009,0:38:06,120.1%
69,Dumyat Hill Race,06/05/2009,0:45:05,128.8%
25,Hunters Bog Trot,18/04/2009,0:35:00,124.3%
257,Carnethy 5 Hill Race,14/02/2009,1:17:24,145.9%
123,Pentland Skyline,06/10/2007,4:56:10,195.3%
76,Dumyat Hill Race,09/05/2007,0:43:54,133.6%
39,Hunters Bog Trot,21/04/2007,0:37:31,135.8%
27,Normans Law,07/04/2007,0:36:39,121.5%
71,Pentland Skyline,08/10/2006,3:26:06,136.7%
