Position, RaceName,Date,Time,Winner
7,Tinto Hill Race,09/11/2013,0:35:06,109.7%
5,Manor Water Hill Race,12/10/2013,1:12:20,101.9%
6,Merrick Hill Race,15/09/2013,1:12:42,107.5%
9,Devils Beeftub Race,07/09/2013,0:26:11,116.8%
3,Cowal Games Hill Race,31/08/2013,0:20:34,106.4%
14,Lomonds of Fife Hill Race,18/08/2013,1:37:23,114.7%
19,Tap o`Noth Hill Race,17/08/2013,0:38:00,113.7%
17,Caerketton Hill Race,14/08/2013,0:21:03,110.7%
9,Cairn Table Hill Race,24/07/2013,0:34:20,109.5%
7,Taynuilt Games Hill Race,20/07/2013,1:03:46,113.1%
11,Cow Hill Race,15/07/2013,0:20:46,118.9%
9,Half Nevis Race,14/07/2013,1:04:06,122.2%
7,Maddy Moss Hill Race,10/07/2013,0:57:40,111.8%
21,Turnhouse Hill Race,03/07/2013,0:29:20,113.3%
8,The Law Breaker,26/06/2013,0:40:47,106.1%
12,Ben Sheann Hill Race,12/06/2013,0:30:19,113.9%
1,Saugh Hill Race,02/06/2013,0:23:27,100.0%
10,Kilpatricks Hill Race,29/05/2013,0:50:08,107.5%
24,Goatfell Race,18/05/2013,1:31:26,120.4%
12,Ben Lomond Hill Race,11/05/2013,1:18:09,114.1%
27,Dumyat Hill Race,08/05/2013,0:39:52,112.6%
47,Stuc a`Chroin Hill Race,04/05/2013,2:52:04,131.2%
13,Beinn Dubh  Luss,24/04/2013,0:41:14,109.6%
7,Kaim Hill Race,17/04/2013,0:33:50,110.6%
4,Grandtully Hill Race,31/03/2013,0:29:53,103.9%
19,Bishop Hill Race,03/03/2013,0:21:09,113.3%
74,Carnethy 5 Hill Race,16/02/2013,1:02:02,124.6%
24,Feel the Burns,19/01/2013,1:58:14,118.3%
16,Callander Crags (Winter),05/01/2013,0:26:33,123.4%
17,Greenmantle Dash,02/01/2013,0:19:36,124.3%
13,Nebit Moonrace,12/12/2012,0:28:30,116.6%
18,Dumyat Dash,03/11/2012,0:55:28,112.7%
7,Cairn Table Hill Race,22/08/2012,0:37:20,108.8%
29,Lomonds of Fife Hill Race,19/08/2012,1:54:19,130.0%
10,Turnhouse Hill Race,15/08/2012,0:30:24,112.2%
16,Caerketton Hill Race,08/08/2012,0:21:25,114.5%
17,Maddy Moss Hill Race,11/07/2012,1:03:51,117.3%
29,The Law Breaker,27/06/2012,0:49:21,125.9%
26,Red Moss Revolution,20/06/2012,0:41:39,115.9%
13,Cort-ma Law Hill Race,06/06/2012,0:55:54,117.4%
19,Kilpatricks Hill Race,30/05/2012,0:52:18,117.0%
13,Kaim Hill Race,18/04/2012,0:35:18,113.7%
10,Penchrise Pen Hill Race,18/09/2011,0:40:56,115.7%
15,Caerketton Downhill,14/09/2011,0:06:21,122.1%
48,Devils Beeftub Race (men),10/09/2011,0:25:32,129.3%
13,Menstrie (Home International Trial),28/08/2011,0:50:42,124.4%
8,Oban Games Race,25/08/2011,0:15:14,121.7%
3,Craigengower Hill Race,20/08/2011,0:19:25,112.7%
13,Caerketton Hill Race,10/08/2011,0:15:58,118.3%
10,Turnhouse Hill Race,27/07/2011,0:28:59,117.0%
10,The Law Breaker,29/06/2011,0:42:38,115.5%
17,Red Moss Revolution,22/06/2011,0:40:14,117.7%
12,Ben Sheann Hill Race,15/06/2011,0:32:29,119.1%
17,Traprain Law Hill Race,11/06/2011,0:45:04,115.1%
14,Cort-ma Law Hill Race,08/06/2011,0:58:05,116.4%
2,Saugh Hill Race,05/06/2011,0:24:37,101.7%
15,Kilpatricks Hill Race,01/06/2011,0:52:34,114.4%
53,Dumyat Hill Race,04/05/2011,0:42:10,127.4%
35,Whangie Whizz,27/04/2011,0:33:21,122.4%
5,Kaim Hill Race,20/04/2011,0:33:48,105.6%
113,Run of the Mill,24/10/2010,1:58:13,163.4%
10,Devils Beeftub Race,11/09/2010,0:27:08,124.3%
35,Red Moss Revolution,23/06/2010,0:42:19,119.1%
19,Cort-ma Law Hill Race,09/06/2010,0:57:28,116.9%
14,Glas Tulaichean Uphill,05/06/2010,0:48:21,127.0%
24,Kilpatricks Hill Race,02/06/2010,0:52:34,122.3%
15,Turnhouse Hill Race,22/07/2009,0:30:02,118.2%
17,Maddy Moss Hill Race,15/07/2009,0:59:58,118.4%
14,Red Moss Revolution,24/06/2009,0:40:25,115.3%
14,Ben Sheann Hill Race,17/06/2009,0:30:39,127.6%
20,Cort-ma Law Hill Race,10/06/2009,0:55:06,113.4%
13,Kilpatricks Hill Race,03/06/2009,0:51:13,118.8%
28,Ben Lomond Hill Race,09/05/2009,1:28:38,122.0%
32,Dumyat Hill Race,06/05/2009,0:41:34,118.8%
14,Kaim Hill Race,29/04/2009,0:36:32,125.7%
37,Whangie Whizz,22/04/2009,0:34:06,124.0%
123,Carnethy 5 Hill Race,14/02/2009,1:08:56,130.0%
32,Maddy Moss Hill Race,16/07/2008,1:01:36,124.6%
29,Dumyat Hill Race,07/05/2008,0:41:16,120.9%
